ensembl_id	ensembl_base	gene_symbol
ENSG00000000003.14	ENSG00000000003	TSPAN6
ENSG00000000419.12	ENSG00000000419	DPM1
ENSG00000000457.13	ENSG00000000457	SCYL3
ENSG00000000460.16	ENSG00000000460	C1orf112
ENSG00000000938.12	ENSG00000000938	FGR
ENSG00000000971.15	ENSG00000000971	CFH
ENSG00000001036.13	ENSG00000001036	FUCA2
ENSG00000001084.10	ENSG00000001084	GCLC
ENSG00000001167.14	ENSG00000001167	NFYA
ENSG00000001460.17	ENSG00000001460	STPG1
ENSG00000001461.16	ENSG00000001461	NIPAL3
ENSG00000001497.16	ENSG00000001497	LAS1L
ENSG00000001561.6	ENSG00000001561	ENPP4
ENSG00000001617.11	ENSG00000001617	SEMA3F
ENSG00000001629.9	ENSG00000001629	ANKIB1
ENSG00000001630.15	ENSG00000001630	CYP51A1
ENSG00000001631.15	ENSG00000001631	KRIT1
ENSG00000002016.17	ENSG00000002016	RAD52
ENSG00000002330.13	ENSG00000002330	BAD
ENSG00000002549.12	ENSG00000002549	LAP3
ENSG00000002586.18	ENSG00000002586	CD99
ENSG00000002586.18_PAR_Y	ENSG00000002586	CD99
ENSG00000002587.9	ENSG00000002587	HS3ST1
ENSG00000002745.12	ENSG00000002745	WNT16
ENSG00000002746.14	ENSG00000002746	HECW1
ENSG00000002822.15	ENSG00000002822	MAD1L1
ENSG00000002834.17	ENSG00000002834	LASP1
ENSG00000002919.14	ENSG00000002919	SNX11
ENSG00000002933.7	ENSG00000002933	TMEM176A
ENSG00000003056.7	ENSG00000003056	M6PR
ENSG00000003096.14	ENSG00000003096	KLHL13
ENSG00000003137.8	ENSG00000003137	CYP26B1
ENSG00000003147.17	ENSG00000003147	ICA1
ENSG00000003249.13	ENSG00000003249	DBNDD1
ENSG00000003393.14	ENSG00000003393	ALS2
ENSG00000003400.14	ENSG00000003400	CASP10
ENSG00000003402.19	ENSG00000003402	CFLAR
ENSG00000003436.15	ENSG00000003436	TFPI
ENSG00000003509.15	ENSG00000003509	NDUFAF7
ENSG00000003756.16	ENSG00000003756	RBM5
ENSG00000003987.13	ENSG00000003987	MTMR7
ENSG00000003989.17	ENSG00000003989	SLC7A2
ENSG00000004059.10	ENSG00000004059	ARF5
ENSG00000004139.13	ENSG00000004139	SARM1
ENSG00000004142.11	ENSG00000004142	POLDIP2
ENSG00000004399.12	ENSG00000004399	PLXND1
ENSG00000004455.16	ENSG00000004455	AK2
ENSG00000004468.12	ENSG00000004468	CD38
ENSG00000004478.7	ENSG00000004478	FKBP4
ENSG00000004487.15	ENSG00000004487	KDM1A
ENSG00000004534.14	ENSG00000004534	RBM6
ENSG00000004660.14	ENSG00000004660	CAMKK1
ENSG00000004700.15	ENSG00000004700	RECQL
ENSG00000004766.15	ENSG00000004766	VPS50
ENSG00000004776.12	ENSG00000004776	HSPB6
ENSG00000004777.18	ENSG00000004777	ARHGAP33
ENSG00000004779.9	ENSG00000004779	NDUFAB1
ENSG00000004799.7	ENSG00000004799	PDK4
ENSG00000004838.13	ENSG00000004838	ZMYND10
ENSG00000004848.7	ENSG00000004848	ARX
ENSG00000004864.13	ENSG00000004864	SLC25A13
ENSG00000004866.20	ENSG00000004866	ST7
ENSG00000004897.11	ENSG00000004897	CDC27
ENSG00000004961.14	ENSG00000004961	HCCS
ENSG00000004975.11	ENSG00000004975	DVL2
ENSG00000005007.12	ENSG00000005007	UPF1
ENSG00000005020.12	ENSG00000005020	SKAP2
ENSG00000005022.5	ENSG00000005022	SLC25A5
ENSG00000005059.15	ENSG00000005059	MCUB
ENSG00000005075.15	ENSG00000005075	POLR2J
ENSG00000005100.12	ENSG00000005100	DHX33
ENSG00000005108.15	ENSG00000005108	THSD7A
ENSG00000005156.11	ENSG00000005156	LIG3
ENSG00000005175.9	ENSG00000005175	RPAP3
ENSG00000005189.19	ENSG00000005189	REXO5
ENSG00000005194.14	ENSG00000005194	CIAPIN1
ENSG00000005206.16	ENSG00000005206	SPPL2B
ENSG00000005238.19	ENSG00000005238	FAM214B
ENSG00000005243.9	ENSG00000005243	COPZ2
ENSG00000005249.12	ENSG00000005249	PRKAR2B
ENSG00000005302.17	ENSG00000005302	MSL3
ENSG00000005339.14	ENSG00000005339	CREBBP
ENSG00000005379.15	ENSG00000005379	TSPOAP1
ENSG00000005381.7	ENSG00000005381	MPO
ENSG00000005436.13	ENSG00000005436	GCFC2
ENSG00000005448.16	ENSG00000005448	WDR54
ENSG00000005469.11	ENSG00000005469	CROT
ENSG00000005471.15	ENSG00000005471	ABCB4
ENSG00000005483.20	ENSG00000005483	KMT2E
ENSG00000005486.16	ENSG00000005486	RHBDD2
ENSG00000005513.9	ENSG00000005513	SOX8
ENSG00000005700.14	ENSG00000005700	IBTK
ENSG00000005801.16	ENSG00000005801	ZNF195
ENSG00000005810.17	ENSG00000005810	MYCBP2
ENSG00000005812.10	ENSG00000005812	FBXL3
ENSG00000005844.17	ENSG00000005844	ITGAL
ENSG00000005882.11	ENSG00000005882	PDK2
ENSG00000005884.17	ENSG00000005884	ITGA3
ENSG00000005889.15	ENSG00000005889	ZFX
ENSG00000005893.15	ENSG00000005893	LAMP2
ENSG00000005961.17	ENSG00000005961	ITGA2B
ENSG00000005981.12	ENSG00000005981	ASB4
ENSG00000006007.11	ENSG00000006007	GDE1
ENSG00000006015.17	ENSG00000006015	C19orf60
ENSG00000006016.10	ENSG00000006016	CRLF1
ENSG00000006025.11	ENSG00000006025	OSBPL7
ENSG00000006042.11	ENSG00000006042	TMEM98
