cluster_id	cluster_size_expanded	pathway_id	pathway_num	pathway_name	category_level1	category_level2	term	p	fdr	significant	p_AC	fdr_AC	significant_AC	p_DLPFC	fdr_DLPFC	significant_DLPFC	p_PCGBA23	fdr_PCGBA23	significant_PCGBA23	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	neglog10_p	neglog10_fdr
112	198	hsa03010	3010	Ribosome - Homo sapiens (human)	Genetic Information Processing	Translation	KEGG_hsa03010	1.9135976173679931e-57	3.253115949525589e-56	True	1.0	1.0	False	9.748534820278072e-47	2.501619934940796e-44	True	1.7971528083189058e-17	6.2900348291161706e-15	True	51	498	166	51873	3	1	35	15	ENSG00000063177(DLPFC),ENSG00000063177(PCGBA23),ENSG00000083845(DLPFC),ENSG00000100316(PCGBA23),ENSG00000108298(DLPFC),ENSG00000110700(DLPFC),ENSG00000110700(PCGBA23),ENSG00000111639(PCGBA23),ENSG00000114391(DLPFC),ENSG00000114391(PCGBA23),ENSG00000116251(DLPFC),ENSG00000116251(PCGBA23),ENSG00000118181(DLPFC),ENSG00000118181(PCGBA23),ENSG00000124614(DLPFC),ENSG00000130255(DLPFC),ENSG00000131469(DLPFC),ENSG00000134419(DLPFC),ENSG00000136942(DLPFC),ENSG00000136942(PCGBA23),ENSG00000138326(DLPFC),ENSG00000138326(PCGBA23),ENSG00000142534(DLPFC),ENSG00000142541(DLPFC),ENSG00000142676(DLPFC),ENSG00000142937(DLPFC),ENSG00000144713(DLPFC),ENSG00000147403(DLPFC),ENSG00000148303(DLPFC),ENSG00000149806(DLPFC),ENSG00000149806(PCGBA23),ENSG00000156482(DLPFC),ENSG00000156482(PCGBA23),ENSG00000161016(DLPFC),ENSG00000164587(DLPFC),ENSG00000164587(PCGBA23),ENSG00000166441(DLPFC),ENSG00000167526(DLPFC),ENSG00000171858(DLPFC),ENSG00000177600(DLPFC),ENSG00000177954(DLPFC),ENSG00000177954(PCGBA23),ENSG00000182899(DLPFC),ENSG00000197958(DLPFC),ENSG00000198242(DLPFC),ENSG00000198242(PCGBA23),ENSG00000198755(DLPFC),ENSG00000198755(PCGBA23),ENSG00000204316(AC),ENSG00000213741(DLPFC),ENSG00000229117(DLPFC)	56.71814937843404	55.487700457055766
112	198	hsa05171	5171	Coronavirus disease - COVID-19 - Homo sapiens (human)	Human Diseases	Infectious disease: viral	KEGG_hsa05171	2.6692431313194468e-56	2.268856661621529e-55	True	1.0	1.0	False	1.429497105680455e-46	2.501619934940796e-44	True	1.0959408252771588e-16	1.917896444235028e-14	True	52	561	187	51873	3	1	36	15	ENSG00000063177(DLPFC),ENSG00000063177(PCGBA23),ENSG00000083845(DLPFC),ENSG00000100316(PCGBA23),ENSG00000108298(DLPFC),ENSG00000110700(DLPFC),ENSG00000110700(PCGBA23),ENSG00000114391(DLPFC),ENSG00000114391(PCGBA23),ENSG00000116251(DLPFC),ENSG00000116251(PCGBA23),ENSG00000118181(DLPFC),ENSG00000118181(PCGBA23),ENSG00000124614(DLPFC),ENSG00000130255(DLPFC),ENSG00000131469(DLPFC),ENSG00000134419(DLPFC),ENSG00000136942(DLPFC),ENSG00000136942(PCGBA23),ENSG00000138326(DLPFC),ENSG00000138326(PCGBA23),ENSG00000142534(DLPFC),ENSG00000142541(DLPFC),ENSG00000142676(DLPFC),ENSG00000142937(DLPFC),ENSG00000144713(DLPFC),ENSG00000147403(DLPFC),ENSG00000148303(DLPFC),ENSG00000149806(DLPFC),ENSG00000149806(PCGBA23),ENSG00000156482(DLPFC),ENSG00000156482(PCGBA23),ENSG00000161016(DLPFC),ENSG00000162711(AC),ENSG00000164342(DLPFC),ENSG00000164342(PCGBA23),ENSG00000164587(DLPFC),ENSG00000164587(PCGBA23),ENSG00000166441(DLPFC),ENSG00000167526(DLPFC),ENSG00000171858(DLPFC),ENSG00000177600(DLPFC),ENSG00000177954(DLPFC),ENSG00000177954(PCGBA23),ENSG00000182899(DLPFC),ENSG00000197958(DLPFC),ENSG00000198242(DLPFC),ENSG00000198242(PCGBA23),ENSG00000198755(DLPFC),ENSG00000198755(PCGBA23),ENSG00000213741(DLPFC),ENSG00000229117(DLPFC)	55.57361186615954	54.64419294044525
489	72	hsa03010	3010	Ribosome - Homo sapiens (human)	Genetic Information Processing	Translation	KEGG_hsa03010	1.8050712011108342e-55	1.2635498407775839e-54	True	2.00696214503477e-24	7.024367507621697e-22	True	1.0	1.0	False	1.5271700388843848e-36	5.345095136095347e-34	True	37	498	166	51873	3	15	1	21	ENSG00000063177(AC),ENSG00000083845(PCGBA23),ENSG00000089009(PCGBA23),ENSG00000105372(PCGBA23),ENSG00000108107(AC),ENSG00000115268(PCGBA23),ENSG00000122026(PCGBA23),ENSG00000122406(PCGBA23),ENSG00000124614(AC),ENSG00000124614(PCGBA23),ENSG00000130255(AC),ENSG00000134419(AC),ENSG00000134419(PCGBA23),ENSG00000136942(AC),ENSG00000142541(PCGBA23),ENSG00000142937(AC),ENSG00000145425(PCGBA23),ENSG00000147604(PCGBA23),ENSG00000148303(PCGBA23),ENSG00000149273(PCGBA23),ENSG00000161016(AC),ENSG00000161016(PCGBA23),ENSG00000162244(AC),ENSG00000162244(PCGBA23),ENSG00000167526(AC),ENSG00000171863(AC),ENSG00000171863(PCGBA23),ENSG00000172809(AC),ENSG00000182774(AC),ENSG00000185088(DLPFC),ENSG00000186468(PCGBA23),ENSG00000198034(AC),ENSG00000198034(PCGBA23),ENSG00000204822(AC),ENSG00000213741(PCGBA23),ENSG00000221983(PCGBA23),ENSG00000265681(PCGBA23)	54.74350566265601	53.89840762264176
489	72	hsa05171	5171	Coronavirus disease - COVID-19 - Homo sapiens (human)	Human Diseases	Infectious disease: viral	KEGG_hsa05171	1.6702351820710618e-51	5.845823137248717e-51	True	1.5772637343204989e-21	2.760211535060873e-19	True	1.0	1.0	False	2.1511476667786261e-35	3.764508416862596e-33	True	36	561	187	51873	3	14	1	21	ENSG00000063177(AC),ENSG00000083845(PCGBA23),ENSG00000089009(PCGBA23),ENSG00000105372(PCGBA23),ENSG00000108107(AC),ENSG00000115268(PCGBA23),ENSG00000122026(PCGBA23),ENSG00000122406(PCGBA23),ENSG00000124614(AC),ENSG00000124614(PCGBA23),ENSG00000130255(AC),ENSG00000134419(AC),ENSG00000134419(PCGBA23),ENSG00000136942(AC),ENSG00000142541(PCGBA23),ENSG00000142937(AC),ENSG00000145425(PCGBA23),ENSG00000147604(PCGBA23),ENSG00000148303(PCGBA23),ENSG00000149273(PCGBA23),ENSG00000161016(AC),ENSG00000161016(PCGBA23),ENSG00000162244(AC),ENSG00000162244(PCGBA23),ENSG00000167526(AC),ENSG00000171863(AC),ENSG00000171863(PCGBA23),ENSG00000172809(AC),ENSG00000182774(AC),ENSG00000185088(DLPFC),ENSG00000186468(PCGBA23),ENSG00000198034(AC),ENSG00000198034(PCGBA23),ENSG00000213741(PCGBA23),ENSG00000221983(PCGBA23),ENSG00000265681(PCGBA23)	50.77722237251443	50.23315432816416
1147	73	hsa00190	190	Oxidative phosphorylation - Homo sapiens (human)	Metabolism	Energy metabolism	KEGG_hsa00190	6.390988425186517e-52	1.150377916533573e-50	True	1.3370187403396527e-17	4.679565591188784e-15	True	2.141667023068397e-12	7.49583458073939e-10	True	8.65266231619008e-25	3.028431810666528e-22	True	33	360	120	51873	3	11	7	15	ENSG00000004779(AC),ENSG00000010256(AC),ENSG00000110955(AC),ENSG00000111775(DLPFC),ENSG00000112695(DLPFC),ENSG00000112695(PCGBA23),ENSG00000117118(DLPFC),ENSG00000117118(PCGBA23),ENSG00000127540(DLPFC),ENSG00000131143(DLPFC),ENSG00000131143(PCGBA23),ENSG00000131174(AC),ENSG00000138777(DLPFC),ENSG00000138777(PCGBA23),ENSG00000140740(AC),ENSG00000140740(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000154723(PCGBA23),ENSG00000161281(PCGBA23),ENSG00000164405(AC),ENSG00000164405(DLPFC),ENSG00000165264(PCGBA23),ENSG00000165629(PCGBA23),ENSG00000167283(PCGBA23),ENSG00000167863(AC),ENSG00000170906(PCGBA23),ENSG00000174886(PCGBA23),ENSG00000178127(AC),ENSG00000178741(AC),ENSG00000241837(PCGBA23)	51.19443196900788	49.93915946390457
10	424	hsa05150	5150	Staphylococcus aureus infection - Homo sapiens (human)	Human Diseases	Infectious disease: bacterial	KEGG_hsa05150	1.7147709593680647e-46	2.91511063092571e-44	True	1.0	1.0	False	6.604736492523004e-24	1.7762384627224758e-21	True	1.140470065393894e-26	3.991645228878629e-24	True	37	129	43	51873	3	0	17	20	ENSG00000005844(DLPFC),ENSG00000005844(PCGBA23),ENSG00000111057(DLPFC),ENSG00000125730(DLPFC),ENSG00000125730(PCGBA23),ENSG00000143226(PCGBA23),ENSG00000159189(PCGBA23),ENSG00000160255(DLPFC),ENSG00000160255(PCGBA23),ENSG00000166278(PCGBA23),ENSG00000169403(DLPFC),ENSG00000169403(PCGBA23),ENSG00000169896(DLPFC),ENSG00000169896(PCGBA23),ENSG00000171860(DLPFC),ENSG00000171860(PCGBA23),ENSG00000173369(PCGBA23),ENSG00000173372(PCGBA23),ENSG00000187474(DLPFC),ENSG00000187474(PCGBA23),ENSG00000196126(DLPFC),ENSG00000196126(PCGBA23),ENSG00000196735(DLPFC),ENSG00000198502(DLPFC),ENSG00000203747(PCGBA23),ENSG00000204252(DLPFC),ENSG00000204252(PCGBA23),ENSG00000204257(DLPFC),ENSG00000204257(PCGBA23),ENSG00000204287(DLPFC),ENSG00000204287(PCGBA23),ENSG00000223865(DLPFC),ENSG00000223865(PCGBA23),ENSG00000231389(DLPFC),ENSG00000231389(PCGBA23),ENSG00000242574(DLPFC),ENSG00000242574(PCGBA23)	45.76579388012584	43.53534495874756
1147	73	hsa05415	5415	Diabetic cardiomyopathy - Homo sapiens (human)	Human Diseases	Cardiovascular disease	KEGG_hsa05415	8.936568551672294e-42	8.042911696505063e-41	True	1.751448247881451e-15	3.06503443379254e-13	True	3.868227428889842e-09	2.7077592002228895e-07	True	6.238119863716569e-20	1.0916709761503996e-17	True	31	555	185	51873	3	11	6	14	ENSG00000004779(AC),ENSG00000010256(AC),ENSG00000110955(AC),ENSG00000111775(DLPFC),ENSG00000112695(DLPFC),ENSG00000112695(PCGBA23),ENSG00000117118(DLPFC),ENSG00000117118(PCGBA23),ENSG00000127540(DLPFC),ENSG00000131143(DLPFC),ENSG00000131143(PCGBA23),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000140740(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000154723(PCGBA23),ENSG00000161281(PCGBA23),ENSG00000164405(AC),ENSG00000164405(DLPFC),ENSG00000165264(PCGBA23),ENSG00000165629(PCGBA23),ENSG00000167863(AC),ENSG00000168291(PCGBA23),ENSG00000170906(PCGBA23),ENSG00000174886(PCGBA23),ENSG00000178127(AC),ENSG00000178741(AC),ENSG00000241837(PCGBA23)	41.04882920884956	40.09458669941024
1147	73	hsa04714	4714	Thermogenesis - Homo sapiens (human)	Organismal Systems	Environmental adaptation	KEGG_hsa04714	1.8105515256907743e-41	1.0863309154144647e-40	True	9.798788408733494e-15	6.859151886113445e-13	True	1.3725614331166752e-10	2.4019825079541817e-08	True	5.700328030070414e-19	4.987787026311613e-17	True	32	648	216	51873	3	11	7	14	ENSG00000004779(AC),ENSG00000010256(AC),ENSG00000110955(AC),ENSG00000111775(DLPFC),ENSG00000112695(DLPFC),ENSG00000112695(PCGBA23),ENSG00000117118(DLPFC),ENSG00000117118(PCGBA23),ENSG00000127540(DLPFC),ENSG00000131143(DLPFC),ENSG00000131143(PCGBA23),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000140740(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000154723(PCGBA23),ENSG00000161281(PCGBA23),ENSG00000164405(AC),ENSG00000164405(DLPFC),ENSG00000165264(PCGBA23),ENSG00000165629(PCGBA23),ENSG00000167283(PCGBA23),ENSG00000167863(AC),ENSG00000170906(PCGBA23),ENSG00000174886(PCGBA23),ENSG00000178127(AC),ENSG00000178741(AC),ENSG00000224877(DLPFC),ENSG00000241837(PCGBA23)	40.74218911127516	39.96403786089152
10	424	hsa05152	5152	Tuberculosis - Homo sapiens (human)	Human Diseases	Infectious disease: bacterial	KEGG_hsa05152	1.6844215666908105e-42	1.431758331687189e-40	True	1.0	1.0	False	1.0149934072699861e-23	1.7762384627224758e-21	True	1.1778443418892932e-22	2.061227598306263e-20	True	50	414	138	51873	3	0	24	26	ENSG00000019582(DLPFC),ENSG00000019582(PCGBA23),ENSG00000064012(DLPFC),ENSG00000064012(PCGBA23),ENSG00000087088(DLPFC),ENSG00000087088(PCGBA23),ENSG00000105329(PCGBA23),ENSG00000110324(DLPFC),ENSG00000110324(PCGBA23),ENSG00000117984(DLPFC),ENSG00000125730(DLPFC),ENSG00000125730(PCGBA23),ENSG00000130592(PCGBA23),ENSG00000143226(PCGBA23),ENSG00000150782(DLPFC),ENSG00000158869(PCGBA23),ENSG00000160255(DLPFC),ENSG00000160255(PCGBA23),ENSG00000163131(DLPFC),ENSG00000163131(PCGBA23),ENSG00000165025(DLPFC),ENSG00000165025(PCGBA23),ENSG00000169896(DLPFC),ENSG00000169896(PCGBA23),ENSG00000172243(DLPFC),ENSG00000172243(PCGBA23),ENSG00000174125(PCGBA23),ENSG00000174130(DLPFC),ENSG00000174130(PCGBA23),ENSG00000179583(DLPFC),ENSG00000179583(PCGBA23),ENSG00000187796(DLPFC),ENSG00000187796(PCGBA23),ENSG00000196126(DLPFC),ENSG00000196126(PCGBA23),ENSG00000196735(DLPFC),ENSG00000198502(DLPFC),ENSG00000203747(PCGBA23),ENSG00000204252(DLPFC),ENSG00000204252(PCGBA23),ENSG00000204257(DLPFC),ENSG00000204257(PCGBA23),ENSG00000204287(DLPFC),ENSG00000204287(PCGBA23),ENSG00000223865(DLPFC),ENSG00000223865(PCGBA23),ENSG00000231389(DLPFC),ENSG00000231389(PCGBA23),ENSG00000242574(DLPFC),ENSG00000242574(PCGBA23)	41.7735492066754	39.8441302809611
1147	73	hsa05208	5208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	Human Diseases	Cancer: overview	KEGG_hsa05208	1.2062052619551463e-40	5.42792367879816e-40	True	4.4094104868505335e-15	3.8582341759942173e-13	True	6.364091837733163e-09	3.712386905344345e-07	True	2.0436995567834696e-19	2.3843161495807145e-17	True	31	603	201	51873	3	11	6	14	ENSG00000004779(AC),ENSG00000010256(AC),ENSG00000110955(AC),ENSG00000111775(DLPFC),ENSG00000112695(DLPFC),ENSG00000112695(PCGBA23),ENSG00000117118(DLPFC),ENSG00000117118(PCGBA23),ENSG00000117448(PCGBA23),ENSG00000127540(DLPFC),ENSG00000131143(DLPFC),ENSG00000131143(PCGBA23),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000140740(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000154723(PCGBA23),ENSG00000161281(PCGBA23),ENSG00000164405(AC),ENSG00000164405(DLPFC),ENSG00000165264(PCGBA23),ENSG00000165629(PCGBA23),ENSG00000167863(AC),ENSG00000170906(PCGBA23),ENSG00000174886(PCGBA23),ENSG00000178127(AC),ENSG00000178741(AC),ENSG00000241837(PCGBA23)	39.91857878129277	39.26536626751743
