module	module_size_mapped	n_ts_edges	n_ct_edges	mdc_total	log2_mdc_total	direction_total	directional_fdr_total	significant_total_fdr05	significant_total_fdr10	mdc_ts	log2_mdc_ts	direction_ts	directional_fdr_ts	significant_ts_fdr05	significant_ts_fdr10	mdc_ct	log2_mdc_ct	direction_ct	directional_fdr_ct	significant_ct_fdr05	significant_ct_fdr10	ts_minus_ct_log2_mdc	any_significant_fdr05	any_significant_fdr10
10	424	40677	48999	0.769476	-0.3780517653721465	Higher in Control	0.006657	True	True	0.757007	-0.40162145409697064	Higher in Control	0.008813	True	True	0.78522	-0.3488311753520607	Higher in Control	0.005541	True	True	-0.052790278744909935	True	True
11	465	69888	37992	0.793236	-0.3341779409679709	Higher in Control	0.006657	True	True	0.821442	-0.2837693812657453	Higher in Control	0.008813	True	True	0.663356	-0.5921447726724922	Higher in Control	0.005541	True	True	0.3083753914067469	True	True
18	177	6505	9071	0.817736	-0.2902929399415447	Higher in Control	0.006657	True	True	0.814683	-0.29568929111755904	Higher in Control	0.008813	True	True	0.820484	-0.2854528944155542	Higher in Control	0.005541	True	True	-0.010236396702004824	True	True
21	296	17117	26543	0.99258	-0.010744709556693233	Higher in Control	0.9987	False	False	1.005347	0.007693539985762323	Higher in AD	1.0	False	False	0.981352	-0.02715738701851717	Higher in Control	0.8947	False	False	0.03485092700427949	False	False
28	543	49702	97451	0.733123	-0.44787282749253177	Higher in Control	0.006657	True	True	0.771916	-0.37348423311545026	Higher in Control	0.008813	True	True	0.717632	-0.4786838718375579	Higher in Control	0.005541	True	True	0.10519963872210764	True	True
31	614	62578	125613	0.406224	-1.2996526172962903	Higher in Control	0.006657	True	True	0.42144	-1.2466008441802974	Higher in Control	0.008813	True	True	0.401644	-1.3160107700592334	Higher in Control	0.005541	True	True	0.06940992587893602	True	True
34	549	50083	100343	0.672083	-0.573288682874224	Higher in Control	0.006657	True	True	0.966145	-0.049688368473970596	Higher in Control	0.008813	True	True	0.583402	-0.7774377628419883	Higher in Control	0.005541	True	True	0.7277493943680177	True	True
35	458	34917	69736	0.845644	-0.24187765084139717	Higher in Control	0.006657	True	True	0.946854	-0.07878610817409558	Higher in Control	0.02333	True	True	0.81559	-0.29408400839853865	Higher in Control	0.005541	True	True	0.21529790022444306	True	True
54	376	24107	46393	0.895164	-0.1597760769664984	Higher in Control	0.006657	True	True	1.003343	0.004814885916526004	Higher in AD	1.0	False	False	0.826585	-0.27476491145795545	Higher in Control	0.005541	True	True	0.27957979737448146	True	True
56	114	2140	4301	0.834792	-0.2605113199953039	Higher in Control	0.006657	True	True	0.852426	-0.23035349719259465	Higher in Control	0.02257	True	True	0.829777	-0.26920442616395257	Higher in Control	0.01095	True	True	0.03885092897135792	True	True
60	378	24262	46991	0.728154	-0.457684491248655	Higher in Control	0.006657	True	True	0.729815	-0.454397291727064	Higher in Control	0.008813	True	True	0.727451	-0.45907802135139647	Higher in Control	0.005541	True	True	0.004680729624332469	True	True
68	192	7597	10739	0.988346	-0.016911906216234944	Higher in Control	1.0	False	False	1.077409	0.10756602171078661	Higher in AD	1.0	False	False	0.90296	-0.14726601535377418	Higher in Control	0.03228	True	True	0.2548320370645608	True	True
85	330	18042	36243	0.71413	-0.48574136897545805	Higher in Control	0.006657	True	True	0.727058	-0.4598576372422115	Higher in Control	0.008813	True	True	0.708427	-0.49730889688025837	Higher in Control	0.005541	True	True	0.03745125963804685	True	True
86	401	31674	48526	0.747794	-0.41928719925289076	Higher in Control	0.006657	True	True	0.794071	-0.3326600865513245	Higher in Control	0.008813	True	True	0.711775	-0.4905068335898469	Higher in Control	0.005541	True	True	0.15784674703852242	True	True
88	280	13688	25372	0.585767	-0.771601175615767	Higher in Control	0.006657	True	True	0.619326	-0.6912290816049006	Higher in Control	0.008813	True	True	0.56777	-0.8166214733605452	Higher in Control	0.005541	True	True	0.12539239175564465	True	True
89	92	1382	2804	0.652278	-0.6164411246922931	Higher in Control	0.006657	True	True	0.640845	-0.6419526378439111	Higher in Control	0.008813	True	True	0.65797	-0.6039062887959977	Higher in Control	0.005541	True	True	-0.038046349047913375	True	True
91	167	9425	4436	0.628341	-0.6703803741590438	Higher in Control	0.006657	True	True	0.649072	-0.6235495730859351	Higher in Control	0.008813	True	True	0.51427	-0.9594020985246198	Higher in Control	0.005541	True	True	0.3358525254386847	True	True
92	206	16100	5015	0.733562	-0.4470091885491132	Higher in Control	0.006657	True	True	0.768083	-0.3806658761045571	Higher in Control	0.008813	True	True	0.323388	-1.628661949352511	Higher in Control	0.005541	True	True	1.2479960732479538	True	True
94	198	10558	8945	0.730396	-0.45324923043593557	Higher in Control	0.006657	True	True	0.791024	-0.3382066275524908	Higher in Control	0.008813	True	True	0.536047	-0.8995685947747835	Higher in Control	0.005541	True	True	0.5613619672222927	True	True
96	241	15330	13590	0.809873	-0.30423240495851445	Higher in Control	0.006657	True	True	0.861681	-0.21477422197173995	Higher in Control	0.008813	True	True	0.685442	-0.5448935001483436	Higher in Control	0.005541	True	True	0.33011927817660364	True	True
97	262	20490	13701	0.677253	-0.5622332157985198	Higher in Control	0.006657	True	True	0.74249	-0.4295564993410444	Higher in Control	0.008813	True	True	0.378144	-1.402992366988975	Higher in Control	0.005541	True	True	0.9734358676479307	True	True
99	270	26932	9383	0.851851	-0.23132698880221786	Higher in Control	0.02501	True	True	0.873342	-0.19538137220845142	Higher in Control	1.0	False	False	0.589183	-0.7632122907347808	Higher in Control	0.005541	True	True	0.5678309185263294	True	True
101	251	20527	10848	0.734312	-0.4455349184485118	Higher in Control	0.006657	True	True	0.754886	-0.40566930429420617	Higher in Control	1.0	False	False	0.617599	-0.6952576782532097	Higher in Control	0.005541	True	True	0.28958837395900355	True	True
102	189	6967	10799	0.717375	-0.4792006255948185	Higher in Control	0.006657	True	True	0.959102	-0.06024384161583321	Higher in Control	0.1782	False	False	0.549735	-0.8631917604653266	Higher in Control	0.005541	True	True	0.8029479188494935	True	True
103	165	7543	5987	0.620902	-0.687562516089099	Higher in Control	0.006657	True	True	0.688689	-0.5380754609419828	Higher in Control	0.008813	True	True	0.464983	-1.1047501233205157	Higher in Control	0.005541	True	True	0.5666746623785329	True	True
104	179	7157	8774	0.646179	-0.6299942292858713	Higher in Control	0.006657	True	True	0.685722	-0.544304285995895	Higher in Control	0.008813	True	True	0.555502	-0.848135989060776	Higher in Control	0.005541	True	True	0.30383170306488105	True	True
105	248	15927	14701	0.96753	-0.047621699593911715	Higher in Control	1.0	False	False	1.082797	0.11476279553666473	Higher in AD	1.0	False	False	0.61517	-0.7009429457920252	Higher in Control	0.005541	True	True	0.8157057413286899	True	True
106	219	16000	7871	0.899803	-0.15231891792605165	Higher in Control	0.5894	False	False	0.937764	-0.09270319865905029	Higher in Control	1.0	False	False	0.657584	-0.6047528983639274	Higher in Control	0.005541	True	True	0.5120496997048771	True	True
108	49	388	788	0.993971	-0.008724334414200006	Higher in Control	0.5612	False	False	1.090945	0.1255783700140537	Higher in AD	1.0	False	False	0.933757	-0.09888094164151703	Higher in Control	0.2681	False	False	0.22445931165557073	False	False
110	148	5439	5439	0.781467	-0.35574314289282144	Higher in Control	0.006657	True	True	0.83449	-0.2610333335401718	Higher in Control	0.008813	True	True	0.614299	-0.7029870601061455	Higher in Control	0.005541	True	True	0.44195372656597376	True	True
111	272	13151	23705	0.689344	-0.5367039911398143	Higher in Control	0.006657	True	True	0.757448	-0.40078124619245736	Higher in Control	0.008813	True	True	0.650203	-0.6210378823301211	Higher in Control	0.005541	True	True	0.22025663613766377	True	True
112	198	7288	12215	0.717607	-0.4787341315866672	Higher in Control	0.006657	True	True	0.85819	-0.22063100460794222	Higher in Control	0.008813	True	True	0.608716	-0.7161588075712505	Higher in Control	0.005541	True	True	0.4955278029633083	True	True
113	296	14537	29123	0.75116	-0.41280785476322873	Higher in Control	0.006657	True	True	0.856353	-0.22372247773427523	Higher in Control	0.008813	True	True	0.717389	-0.4791724708173455	Higher in Control	0.005541	True	True	0.25544999308307026	True	True
115	339	19509	37782	0.767602	-0.3815696243828305	Higher in Control	0.006657	True	True	0.868445	-0.20349361122494744	Higher in Control	0.008813	True	True	0.730685	-0.45267850386806646	Higher in Control	0.005541	True	True	0.24918489264311902	True	True
116	344	20516	38480	0.787781	-0.34413347298025426	Higher in Control	0.006657	True	True	0.866762	-0.2062921897405935	Higher in Control	0.008813	True	True	0.766256	-0.3841016293317668	Higher in Control	0.005541	True	True	0.1778094395911733	True	True
117	231	8797	17768	0.70865	-0.49685483404983505	Higher in Control	0.006657	True	True	0.875644	-0.19158364495174535	Higher in Control	0.008813	True	True	0.650522	-0.6203302466234644	Higher in Control	0.005541	True	True	0.428746601671719	True	True
119	451	70869	30606	0.853161	-0.2291100766919774	Higher in Control	0.006657	True	True	0.905646	-0.14298085680760997	Higher in Control	0.008813	True	True	0.449644	-1.1531448772203308	Higher in Control	0.005541	True	True	1.010164020412721	True	True
121	519	45933	88488	0.749405	-0.4161824915849737	Higher in Control	0.006657	True	True	0.87967	-0.18496568324262294	Higher in Control	0.008813	True	True	0.701084	-0.51234078456986	Higher in Control	0.005541	True	True	0.327375101327237	True	True
