module_definition	module	component	component_class	n_features	n_edges	mdc	log2_mdc	direction	p_loss_sample	p_loss_gene	q_loss_sample	q_loss_gene	q_loss_max	p_gain_sample	p_gain_gene	q_gain_sample	q_gain_gene	q_gain_max	directional_p_sample	directional_p_gene	directional_fdr	significant_fdr_05	significant_fdr_10	component_label
control_derived	10	TS_AC	TS	424	351	0.836447105656943	-0.257653783337646	Higher in Control	0.81592039800995	0.800995024875622	1.0	1.0	1.0	0.189054726368159	0.203980099502488	0.277483549991976	0.301824212271973	0.301824212271973	0.189054726368159	0.203980099502488	0.301824212271973	False	False	TS: AC
control_derived	10	TS_DLPFC	TS	424	13530	0.858444558814317	-0.220203131663364	Higher in Control	0.0049751243781094	1.0	0.008401389280015	1.0	1.0	1.0	0.0049751243781094	1.0	0.0117177271537052	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
control_derived	10	TS_PCGBA23	TS	424	26796	0.726258330898188	-0.461445287142564	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078241272271123	0.0130774697938877	0.0130774697938877	0.0049751243781094	0.0049751243781094	0.0130774697938877	True	True	TS: PCG
control_derived	10	CT_AC__DLPFC	CT	424	4455	0.573681654978662	-0.801677710232795	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
control_derived	10	CT_AC__PCGBA23	CT	424	6264	0.729622211170778	-0.454778446171183	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	10	CT_DLPFC__PCGBA23	CT	424	38280	0.797606433191443	-0.326251048872463	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078304131516331	0.0075041459369817	0.0078304131516331	0.0049751243781094	0.0049751243781094	0.0078304131516331	True	True	CT: DLPFC - PCG
control_derived	11	TS_AC	TS	465	67528	0.821546639975765	-0.283585614232126	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0109093088773002	0.0146043973679987	0.0146043973679987	0.0049751243781094	0.0049751243781094	0.0146043973679987	True	True	TS: AC
control_derived	11	TS_DLPFC	TS	465	820	0.916938384453608	-0.125103302648068	Higher in Control	0.0049751243781094	0.970149253731343	0.008401389280015	1.0	1.0	1.0	0.0348258706467662	1.0	0.0649357379767828	1.0	1.0	0.0348258706467662	1.0	False	False	TS: DLPFC
control_derived	11	TS_PCGBA23	TS	465	1540	0.762503281406039	-0.391184548723777	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078241272271123	0.0130774697938877	0.0130774697938877	0.0049751243781094	0.0049751243781094	0.0130774697938877	True	True	TS: PCG
control_derived	11	CT_AC__DLPFC	CT	465	15088	0.636711653204198	-0.651287925975716	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
