module	module_size	cluster_type	tissues	n_tissues	dominant_tissue	n_genes_ac	n_genes_dlpfc	n_genes_pcg	proportion_ac	proportion_dlpfc	proportion_pcg	tissue_entropy	tissue_entropy_normalized
10	424	CT	AC, DLPFC, PCG	3	PCG	27	165	232	0.06367924528	0.3891509434	0.5471698113	1.25887159	0.7942595418
11	465	CT	AC, DLPFC, PCG	3	AC	368	41	56	0.7913978495	0.08817204301	0.1204301075	0.9437916207	0.5954662147
18	177	CT	AC, DLPFC, PCG	3	DLPFC	23	97	57	0.1299435028	0.5480225989	0.3220338983	1.384508367	0.8735275225
21	296	CT	AC, DLPFC, PCG	3	DLPFC	40	137	119	0.1351351351	0.4628378378	0.402027027	1.433132984	0.9042062404
28	543	CT	AC, DLPFC, PCG	3	AC	213	157	173	0.3922651934	0.2891344383	0.3186003683	1.572949658	0.9924207404
31	614	CT	AC, DLPFC, PCG	3	AC	213	201	200	0.3469055375	0.3273615635	0.325732899	1.584365567	0.9996233767
34	549	CT	AC, DLPFC, PCG	3	PCG	185	171	193	0.3369763206	0.3114754098	0.3515482696	1.58317134	0.9988699034
35	458	CT	AC, DLPFC, PCG	3	DLPFC	142	168	148	0.3100436681	0.3668122271	0.3231441048	1.581185194	0.9976167848
54	376	CT	AC, DLPFC, PCG	3	AC	147	95	134	0.3909574468	0.2526595745	0.3563829787	1.561652498	0.9852930257
56	114	CT	AC, DLPFC, PCG	3	DLPFC	37	44	33	0.3245614035	0.3859649123	0.2894736842	1.574734122	0.9935466116
60	378	CT	AC, DLPFC, PCG	3	AC	154	119	105	0.4074074074	0.3148148148	0.2777777778	1.566040783	0.9880617252
68	192	CT	AC, DLPFC, PCG	3	DLPFC	47	109	36	0.2447916667	0.5677083333	0.1875	1.413529858	0.8918380447
85	330	CT	AC, DLPFC, PCG	3	PCG	109	103	118	0.3303030303	0.3121212121	0.3575757576	1.58270547	0.9985759723
86	401	CT	AC, DLPFC, PCG	3	DLPFC	66	208	127	0.1645885287	0.5187032419	0.3167082294	1.445003493	0.9116956975
88	280	CT	AC, DLPFC, PCG	3	PCG	104	62	114	0.3714285714	0.2214285714	0.4071428571	1.540156719	0.9717306989
89	92	CT	AC, DLPFC, PCG	3	AC	34	26	32	0.3695652174	0.2826086957	0.347826087	1.575897073	0.9942803517
91	167	CT	AC, DLPFC, PCG	3	AC	136	11	20	0.8143712575	0.06586826347	0.119760479	0.8664153337	0.546647213
92	206	CT	AC, DLPFC, PCG	3	PCG	13	14	179	0.06310679612	0.06796116505	0.8689320388	0.6912980545	0.4361605112
94	198	CT	AC, DLPFC, PCG	3	PCG	25	33	140	0.1262626263	0.1666666667	0.7070707071	1.161371605	0.7327439003
96	241	CT	AC, DLPFC, PCG	3	PCG	34	39	168	0.1410788382	0.1618257261	0.6970954357	1.186691203	0.7487187881
97	262	CT	AC, DLPFC, PCG	3	PCG	51	15	196	0.1946564885	0.0572519084	0.7480916031	1.009071166	0.6366530223
99	270	CT	AC, DLPFC, PCG	3	DLPFC	22	231	17	0.08148148148	0.8555555556	0.06296296296	0.7384882175	0.4659341891
