module	annotation_available	top_category	top_subcategory	top_pathway	top_pathway_id	top_fdr	top_significant	priority_theme	priority_category	priority_subcategory	priority_pathway	priority_pathway_id	priority_fdr	priority_significant	priority_is_top	displayed_selection	displayed_category	displayed_subcategory	displayed_pathway	displayed_pathway_id	displayed_fdr	subtitle_text
10	True	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	2.91511063092571e-44	True	infection	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	2.91511063092571e-44	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	2.91511063092571e-44	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Staphylococcus aureus infection | FDR=2.92e-44
11	True	Human Diseases	Infectious disease: bacterial	Tuberculosis	hsa05152	5.0913844991146106e-20	True	infection	Human Diseases	Infectious disease: bacterial	Tuberculosis	hsa05152	5.0913844991146106e-20	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: bacterial	Tuberculosis	hsa05152	5.0913844991146106e-20	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Tuberculosis | FDR=5.09e-20
18	True	Human Diseases	Infectious disease: parasitic	Leishmaniasis	hsa05140	5.73241423636261e-09	True	infection	Human Diseases	Infectious disease: parasitic	Leishmaniasis	hsa05140	5.73241423636261e-09	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: parasitic	Leishmaniasis	hsa05140	5.73241423636261e-09	KEGG enrichment: Human Diseases / Infectious disease: parasitic / Leishmaniasis | FDR=5.73e-09
21	True	Organismal Systems	Immune system	Complement and coagulation cascades	hsa04610	3.01127357119454e-06	True	infection	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19	hsa05171	0.0001656584912644	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19	hsa05171	0.0001656584912644	KEGG enrichment: Human Diseases / Infectious disease: viral / Coronavirus disease - COVID-19 | FDR=1.66e-04
28	True	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	hsa04141	6.555176889096069e-36	True	lipid metabolism	Human Diseases	Cardiovascular disease	Lipid and atherosclerosis	hsa05417	1.38092360385878e-14	True	False	priority_significant_lowest_fdr	Human Diseases	Cardiovascular disease	Lipid and atherosclerosis	hsa05417	1.38092360385878e-14	KEGG enrichment: Human Diseases / Cardiovascular disease / Lipid and atherosclerosis | FDR=1.38e-14
31	True	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	hsa04141	2.37404599198403e-13	True	infection	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	1.01106032201369e-11	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	1.01106032201369e-11	KEGG enrichment: Human Diseases / Infectious disease: viral / Herpes simplex virus 1 infection | FDR=1.01e-11
34	True	Environmental Information Processing	Signaling molecules and interaction	Integrin signaling	hsa04518	0.0013587371822088	True	infection	Human Diseases	Infectious disease: parasitic	Amoebiasis	hsa05146	0.0123277133248795	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: parasitic	Amoebiasis	hsa05146	0.0123277133248795	KEGG enrichment: Human Diseases / Infectious disease: parasitic / Amoebiasis | FDR=0.012
35	True	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes	hsa03008	0.0027872004388091	True	infection	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	0.0027872004388091	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	0.0027872004388091	KEGG enrichment: Human Diseases / Infectious disease: viral / Herpes simplex virus 1 infection | FDR=0.003
54	True	Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway	hsa04151	3.57207094588212e-10	True	infection	Environmental Information Processing	Signaling molecules and interaction	Viral protein interaction with cytokine and cytokine receptor	hsa04061	2.32663897218107e-05	True	False	priority_significant_lowest_fdr	Environmental Information Processing	Signaling molecules and interaction	Viral protein interaction with cytokine and cytokine receptor	hsa04061	2.32663897218107e-05	KEGG enrichment: Environmental Information Processing / Signaling molecules and interaction / Viral protein interaction with cytokine and cytokine receptor | FDR=2.33e-05
56	True	Organismal Systems	Immune system	IL-17 signaling pathway	hsa04657	3.73219880661696e-06	True	metabolism	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	hsa00010	0.0001373904948904	True	False	priority_significant_lowest_fdr	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	hsa00010	0.0001373904948904	KEGG enrichment: Metabolism / Carbohydrate metabolism / Glycolysis / Gluconeogenesis | FDR=1.37e-04
