cluster_id	cluster_size_expanded	pathway_id	pathway_num	pathway_name	category_level1	category_level2	term	p	fdr	significant	p_AC	fdr_AC	significant_AC	p_DLPFC	fdr_DLPFC	significant_DLPFC	p_PCGBA23	fdr_PCGBA23	significant_PCGBA23	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	neglog10_p	neglog10_fdr
61	575	hsa04141	4141	Protein processing in endoplasmic reticulum - Homo sapiens (human)	Genetic Information Processing	Folding, sorting and degradation	KEGG_hsa04141	1.337312006511187e-44	2.07283361009234e-42	True	7.607275274652986e-15	2.662546346128545e-12	True	3.03832384865992e-14	1.0634133470309722e-11	True	8.87104665352722e-19	3.1048663287345273e-16	True	61	489	163	51873	3	20	18	23	ENSG00000030110(DLPFC),ENSG00000030110(PCGBA23),ENSG00000044574(DLPFC),ENSG00000071537(PCGBA23),ENSG00000072401(AC),ENSG00000072849(DLPFC),ENSG00000072849(PCGBA23),ENSG00000090520(DLPFC),ENSG00000099958(DLPFC),ENSG00000099958(PCGBA23),ENSG00000101310(PCGBA23),ENSG00000102580(AC),ENSG00000102580(PCGBA23),ENSG00000106803(AC),ENSG00000106803(DLPFC),ENSG00000106803(PCGBA23),ENSG00000109332(AC),ENSG00000109332(PCGBA23),ENSG00000113615(AC),ENSG00000125844(AC),ENSG00000125844(PCGBA23),ENSG00000127022(PCGBA23),ENSG00000131871(AC),ENSG00000131871(PCGBA23),ENSG00000134910(AC),ENSG00000134910(DLPFC),ENSG00000134910(PCGBA23),ENSG00000136026(AC),ENSG00000136986(AC),ENSG00000136986(DLPFC),ENSG00000136986(PCGBA23),ENSG00000138674(AC),ENSG00000150961(AC),ENSG00000155660(DLPFC),ENSG00000155660(PCGBA23),ENSG00000163479(DLPFC),ENSG00000163479(PCGBA23),ENSG00000163902(PCGBA23),ENSG00000166598(DLPFC),ENSG00000166598(PCGBA23),ENSG00000167004(AC),ENSG00000167004(DLPFC),ENSG00000167004(PCGBA23),ENSG00000169223(AC),ENSG00000169223(DLPFC),ENSG00000169223(PCGBA23),ENSG00000175197(DLPFC),ENSG00000175197(PCGBA23),ENSG00000176986(AC),ENSG00000178607(AC),ENSG00000178607(DLPFC),ENSG00000178607(PCGBA23),ENSG00000179218(AC),ENSG00000179218(DLPFC),ENSG00000179218(PCGBA23),ENSG00000180879(AC),ENSG00000185624(AC),ENSG00000198856(AC),ENSG00000198856(DLPFC),ENSG00000198856(PCGBA23),ENSG00000239264(DLPFC)	43.87376725623994	41.68343555806965
1654	189	hsa05012	5012	Parkinson disease - Homo sapiens (human)	Human Diseases	Neurodegenerative disease	KEGG_hsa05012	1.1183339287158574e-41	1.7118284235786595e-40	True	1.7656992246825116e-28	2.0599824287962638e-26	True	1.0	1.0	False	1.6698189758895509e-15	1.4610916039033572e-13	True	45	726	242	51873	3	28	1	16	ENSG00000004779(AC),ENSG00000004779(PCGBA23),ENSG00000005022(DLPFC),ENSG00000010256(AC),ENSG00000013275(AC),ENSG00000099341(AC),ENSG00000100519(AC),ENSG00000100567(AC),ENSG00000100902(AC),ENSG00000110955(AC),ENSG00000112695(PCGBA23),ENSG00000115233(AC),ENSG00000117118(PCGBA23),ENSG00000126067(AC),ENSG00000128609(AC),ENSG00000129084(AC),ENSG00000129084(PCGBA23),ENSG00000130414(AC),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000143106(AC),ENSG00000145494(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000151366(AC),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000158864(AC),ENSG00000159352(AC),ENSG00000160194(PCGBA23),ENSG00000164919(AC),ENSG00000164919(PCGBA23),ENSG00000165629(AC),ENSG00000165916(PCGBA23),ENSG00000167863(AC),ENSG00000168653(PCGBA23),ENSG00000178741(AC),ENSG00000179091(AC),ENSG00000179091(PCGBA23),ENSG00000183648(PCGBA23),ENSG00000189043(PCGBA23),ENSG00000213619(PCGBA23),ENSG00000241837(AC),ENSG00000241837(PCGBA23),ENSG00000258947(AC)	40.95142849900338	39.76653976677755
1654	189	hsa05020	5020	Prion disease - Homo sapiens (human)	Human Diseases	Neurodegenerative disease	KEGG_hsa05020	1.1183339287158574e-41	1.7118284235786595e-40	True	1.7656992246825116e-28	2.0599824287962638e-26	True	1.0	1.0	False	1.6698189758895509e-15	1.4610916039033572e-13	True	45	726	242	51873	3	28	1	16	ENSG00000004779(AC),ENSG00000004779(PCGBA23),ENSG00000005022(DLPFC),ENSG00000010256(AC),ENSG00000013275(AC),ENSG00000099341(AC),ENSG00000100519(AC),ENSG00000100567(AC),ENSG00000100902(AC),ENSG00000110955(AC),ENSG00000112695(PCGBA23),ENSG00000115233(AC),ENSG00000117118(PCGBA23),ENSG00000126067(AC),ENSG00000128609(AC),ENSG00000129084(AC),ENSG00000129084(PCGBA23),ENSG00000130414(AC),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000143106(AC),ENSG00000145494(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000151366(AC),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000158864(AC),ENSG00000159352(AC),ENSG00000160194(PCGBA23),ENSG00000164919(AC),ENSG00000164919(PCGBA23),ENSG00000165629(AC),ENSG00000165916(PCGBA23),ENSG00000167863(AC),ENSG00000168653(PCGBA23),ENSG00000178741(AC),ENSG00000179091(AC),ENSG00000179091(PCGBA23),ENSG00000183648(PCGBA23),ENSG00000189043(PCGBA23),ENSG00000213619(PCGBA23),ENSG00000241837(AC),ENSG00000241837(PCGBA23),ENSG00000258947(AC)	40.95142849900338	39.76653976677755
1654	189	hsa05016	5016	Huntington disease - Homo sapiens (human)	Human Diseases	Neurodegenerative disease	KEGG_hsa05016	1.167155743349086e-41	1.7118284235786595e-40	True	1.2930965111248116e-29	4.52583778893684e-27	True	1.0	1.0	False	1.4751300543052383e-14	8.604925316780556e-13	True	47	834	278	51873	3	30	1	16	ENSG00000004779(AC),ENSG00000004779(PCGBA23),ENSG00000005022(DLPFC),ENSG00000010256(AC),ENSG00000013275(AC),ENSG00000099341(AC),ENSG00000100519(AC),ENSG00000100567(AC),ENSG00000100902(AC),ENSG00000110955(AC),ENSG00000112695(PCGBA23),ENSG00000115233(AC),ENSG00000117118(PCGBA23),ENSG00000126067(AC),ENSG00000128609(AC),ENSG00000129084(AC),ENSG00000129084(PCGBA23),ENSG00000130414(AC),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000141367(AC),ENSG00000143106(AC),ENSG00000145494(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000151366(AC),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000158864(AC),ENSG00000159352(AC),ENSG00000160194(PCGBA23),ENSG00000164919(AC),ENSG00000164919(PCGBA23),ENSG00000165629(AC),ENSG00000165916(PCGBA23),ENSG00000167863(AC),ENSG00000168653(PCGBA23),ENSG00000175203(AC),ENSG00000178741(AC),ENSG00000179091(AC),ENSG00000179091(PCGBA23),ENSG00000183648(PCGBA23),ENSG00000189043(PCGBA23),ENSG00000213619(PCGBA23),ENSG00000241837(AC),ENSG00000241837(PCGBA23),ENSG00000258947(AC)	40.93287118854408	39.76653976677755
1654	189	hsa00190	190	Oxidative phosphorylation - Homo sapiens (human)	Metabolism	Energy metabolism	KEGG_hsa00190	1.1375181798990595e-37	1.2512699978889657e-36	True	4.061469167602636e-22	2.0307345838013174e-20	True	1.0	1.0	False	8.87894524784183e-19	3.1076308367446404e-16	True	34	360	120	51873	3	19	0	15	ENSG00000004779(AC),ENSG00000004779(PCGBA23),ENSG00000010256(AC),ENSG00000110955(AC),ENSG00000112695(PCGBA23),ENSG00000117118(PCGBA23),ENSG00000128609(AC),ENSG00000130414(AC),ENSG00000131100(AC),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000145494(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000151366(AC),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000158864(AC),ENSG00000159720(AC),ENSG00000160194(PCGBA23),ENSG00000164919(AC),ENSG00000164919(PCGBA23),ENSG00000165629(AC),ENSG00000167283(PCGBA23),ENSG00000167863(AC),ENSG00000168653(PCGBA23),ENSG00000178741(AC),ENSG00000179091(AC),ENSG00000179091(PCGBA23),ENSG00000183648(PCGBA23),ENSG00000189043(PCGBA23),ENSG00000213619(PCGBA23),ENSG00000241837(AC),ENSG00000241837(PCGBA23)	36.94404165368909	35.90264896853087
1654	189	hsa05010	5010	Alzheimer disease - Homo sapiens (human)	Human Diseases	Neurodegenerative disease	KEGG_hsa05010	6.277769937275747e-36	5.524437544802657e-35	True	5.259051516784693e-24	3.6813360617492855e-22	True	1.0	1.0	False	3.099896124960068e-14	1.3562045546700297e-12	True	46	1047	349	51873	3	28	1	17	ENSG00000004779(AC),ENSG00000004779(PCGBA23),ENSG00000005022(DLPFC),ENSG00000010256(AC),ENSG00000013275(AC),ENSG00000086991(PCGBA23),ENSG00000099341(AC),ENSG00000100519(AC),ENSG00000100567(AC),ENSG00000100902(AC),ENSG00000110955(AC),ENSG00000112695(PCGBA23),ENSG00000115233(AC),ENSG00000117118(PCGBA23),ENSG00000126067(AC),ENSG00000128609(AC),ENSG00000129084(AC),ENSG00000129084(PCGBA23),ENSG00000130414(AC),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000143106(AC),ENSG00000145494(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000151366(AC),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000158864(AC),ENSG00000159352(AC),ENSG00000160194(PCGBA23),ENSG00000164919(AC),ENSG00000164919(PCGBA23),ENSG00000165629(AC),ENSG00000165916(PCGBA23),ENSG00000167863(AC),ENSG00000168653(PCGBA23),ENSG00000178741(AC),ENSG00000179091(AC),ENSG00000179091(PCGBA23),ENSG00000183648(PCGBA23),ENSG00000189043(PCGBA23),ENSG00000213619(PCGBA23),ENSG00000241837(AC),ENSG00000241837(PCGBA23),ENSG00000258947(AC)	35.202194604023425	34.25771193187326
1654	189	hsa05014	5014	Amyotrophic lateral sclerosis - Homo sapiens (human)	Human Diseases	Neurodegenerative disease	KEGG_hsa05014	9.061373620751572e-36	6.645007321884488e-35	True	5.213241632683175e-26	4.561586428597778e-24	True	1.0	1.0	False	2.1063980653346942e-13	8.191548031857144e-12	True	45	990	330	51873	3	29	0	16	ENSG00000004779(AC),ENSG00000004779(PCGBA23),ENSG00000010256(AC),ENSG00000013275(AC),ENSG00000099341(AC),ENSG00000100519(AC),ENSG00000100567(AC),ENSG00000100902(AC),ENSG00000110955(AC),ENSG00000112695(PCGBA23),ENSG00000115233(AC),ENSG00000117118(PCGBA23),ENSG00000126067(AC),ENSG00000128609(AC),ENSG00000129084(AC),ENSG00000129084(PCGBA23),ENSG00000130414(AC),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000143106(AC),ENSG00000145494(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000151366(AC),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000158864(AC),ENSG00000159352(AC),ENSG00000160194(PCGBA23),ENSG00000164919(AC),ENSG00000164919(PCGBA23),ENSG00000165629(AC),ENSG00000165916(PCGBA23),ENSG00000167863(AC),ENSG00000168653(PCGBA23),ENSG00000175203(AC),ENSG00000178741(AC),ENSG00000179091(AC),ENSG00000179091(PCGBA23),ENSG00000183648(PCGBA23),ENSG00000189043(PCGBA23),ENSG00000213619(PCGBA23),ENSG00000241837(AC),ENSG00000241837(PCGBA23),ENSG00000258947(AC)	35.04280596229072	34.177504536188174
36	521	hsa05171	5171	Coronavirus disease - COVID-19 - Homo sapiens (human)	Human Diseases	Infectious disease: viral	KEGG_hsa05171	7.071255065001015e-36	1.364752227545196e-33	True	2.3909963373956956e-41	8.368487180884935e-39	True	1.0	1.0	False	1.0	1.0	False	54	561	187	51873	3	54	0	0	ENSG00000063177(AC),ENSG00000083845(AC),ENSG00000101916(AC),ENSG00000105372(AC),ENSG00000105640(AC),ENSG00000110700(AC),ENSG00000112936(AC),ENSG00000122406(AC),ENSG00000124491(AC),ENSG00000124614(AC),ENSG00000125691(AC),ENSG00000125730(AC),ENSG00000130255(AC),ENSG00000131469(AC),ENSG00000134419(AC),ENSG00000136942(AC),ENSG00000137154(AC),ENSG00000137462(AC),ENSG00000137752(AC),ENSG00000137818(AC),ENSG00000138326(AC),ENSG00000142534(AC),ENSG00000142937(AC),ENSG00000143226(AC),ENSG00000147403(AC),ENSG00000148303(AC),ENSG00000149273(AC),ENSG00000159189(AC),ENSG00000160712(AC),ENSG00000161016(AC),ENSG00000164342(AC),ENSG00000164587(AC),ENSG00000165025(AC),ENSG00000165168(AC),ENSG00000167526(AC),ENSG00000171860(AC),ENSG00000171863(AC),ENSG00000172809(AC),ENSG00000173369(AC),ENSG00000173372(AC),ENSG00000177600(AC),ENSG00000182774(AC),ENSG00000186468(AC),ENSG00000188846(AC),ENSG00000196664(AC),ENSG00000197958(AC),ENSG00000198034(AC),ENSG00000198918(AC),ENSG00000213741(AC),ENSG00000224389(AC),ENSG00000229117(AC),ENSG00000231500(AC),ENSG00000241343(AC),ENSG00000244731(AC)	35.150503497174824	32.864946188167046
1654	189	hsa05208	5208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	Human Diseases	Cancer: overview	KEGG_hsa05208	4.7790278809967085e-34	3.003960382340788e-33	True	9.356705208014145e-18	4.0935585285061876e-16	True	1.0	1.0	False	2.9930348593732297e-18	5.237811003903153e-16	True	37	603	201	51873	3	19	1	17	ENSG00000004779(AC),ENSG00000004779(PCGBA23),ENSG00000005022(DLPFC),ENSG00000010256(AC),ENSG00000086991(PCGBA23),ENSG00000110955(AC),ENSG00000112695(PCGBA23),ENSG00000117118(PCGBA23),ENSG00000117448(PCGBA23),ENSG00000128609(AC),ENSG00000130414(AC),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000143198(PCGBA23),ENSG00000143727(AC),ENSG00000145494(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000151366(AC),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000158864(AC),ENSG00000160194(PCGBA23),ENSG00000164919(AC),ENSG00000164919(PCGBA23),ENSG00000165629(AC),ENSG00000167863(AC),ENSG00000168653(PCGBA23),ENSG00000177885(AC),ENSG00000178741(AC),ENSG00000179091(AC),ENSG00000179091(PCGBA23),ENSG00000183648(PCGBA23),ENSG00000189043(PCGBA23),ENSG00000213619(PCGBA23),ENSG00000241837(AC),ENSG00000241837(PCGBA23)	33.320660435784355	32.52230579931242
1654	189	hsa05022	5022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	Human Diseases	Neurodegenerative disease	KEGG_hsa05022	4.767643796922003e-33	2.6222040883071007e-32	True	1.0568643945294205e-22	6.1650423014216176e-21	True	1.0	1.0	False	9.494252646623166e-13	3.020898569380098e-11	True	47	1293	431	51873	3	29	1	17	ENSG00000004779(AC),ENSG00000004779(PCGBA23),ENSG00000005022(DLPFC),ENSG00000010256(AC),ENSG00000013275(AC),ENSG00000086991(PCGBA23),ENSG00000099341(AC),ENSG00000100519(AC),ENSG00000100567(AC),ENSG00000100902(AC),ENSG00000110955(AC),ENSG00000112695(PCGBA23),ENSG00000115233(AC),ENSG00000117118(PCGBA23),ENSG00000126067(AC),ENSG00000128609(AC),ENSG00000129084(AC),ENSG00000129084(PCGBA23),ENSG00000130414(AC),ENSG00000131174(AC),ENSG00000140740(AC),ENSG00000143106(AC),ENSG00000145494(PCGBA23),ENSG00000147684(PCGBA23),ENSG00000151366(AC),ENSG00000152234(AC),ENSG00000154518(AC),ENSG00000154518(PCGBA23),ENSG00000158864(AC),ENSG00000159352(AC),ENSG00000160194(PCGBA23),ENSG00000164919(AC),ENSG00000164919(PCGBA23),ENSG00000165629(AC),ENSG00000165916(PCGBA23),ENSG00000167863(AC),ENSG00000168653(PCGBA23),ENSG00000175203(AC),ENSG00000178741(AC),ENSG00000179091(AC),ENSG00000179091(PCGBA23),ENSG00000183648(PCGBA23),ENSG00000189043(PCGBA23),ENSG00000213619(PCGBA23),ENSG00000241837(AC),ENSG00000241837(PCGBA23),ENSG00000258947(AC)	32.32169619932696	31.58133350983272
