module	module_size_mapped	n_ts_edges	n_ct_edges	mdc_total	log2_mdc_total	direction_total	directional_fdr_total	significant_total_fdr05	significant_total_fdr10	mdc_ts	log2_mdc_ts	direction_ts	directional_fdr_ts	significant_ts_fdr05	significant_ts_fdr10	mdc_ct	log2_mdc_ct	direction_ct	directional_fdr_ct	significant_ct_fdr05	significant_ct_fdr10	ts_minus_ct_log2_mdc	any_significant_fdr05	any_significant_fdr10
32	113	2154	4174	1.190079	0.2510573459073898	Higher in AD	0.03065	True	True	1.089217	0.12329140459341056	Higher in AD	0.8318	False	False	1.251283	0.32340811765951066	Higher in AD	0.02554	True	True	-0.2001167130661001	True	True
34	407	31771	50850	0.823308	-0.2804958502107925	Higher in Control	0.01915	True	True	0.796405	-0.3284258162541595	Higher in Control	0.01965	True	True	0.842678	-0.24694663400141853	Higher in Control	0.01596	True	True	-0.08147918225274098	True	True
36	521	102674	32786	0.855758	-0.22472522064508685	Higher in Control	0.01915	True	True	0.853704	-0.2281921559031274	Higher in Control	0.01965	True	True	0.878953	-0.18614207227157564	Higher in Control	0.01596	True	True	-0.04205008363155177	True	True
38	416	38741	47579	0.840628	-0.25046058368847823	Higher in Control	0.01915	True	True	0.803477	-0.315671368386947	Higher in Control	0.01965	True	True	0.882395	-0.18050347881713474	Higher in Control	0.01596	True	True	-0.13516788956981224	True	True
56	542	55211	91400	0.934538	-0.09767476714277212	Higher in Control	0.01915	True	True	0.884586	-0.1769256854457343	Higher in Control	0.01965	True	True	0.970445	-0.04328164441698388	Higher in Control	1.0	False	False	-0.13364404102875044	True	True
57	142	3359	6652	0.973133	-0.039291100438386545	Higher in Control	0.7436	False	False	0.867751	-0.20464697226448714	Higher in Control	0.01965	True	True	1.031314	0.04448365110888312	Higher in AD	0.3781	False	False	-0.24913062337337025	True	True
59	252	20917	10709	0.738946	-0.4364591545737064	Higher in Control	0.01915	True	True	0.735692	-0.44282619147730723	Higher in Control	0.01965	True	True	0.762285	-0.391597607386415	Higher in Control	0.01596	True	True	-0.051228584090892204	True	True
60	273	12376	24752	0.828257	-0.2718496036168577	Higher in Control	0.01915	True	True	0.762013	-0.3921124844711934	Higher in Control	0.01965	True	True	0.854575	-0.22672098229564902	Higher in Control	0.01596	True	True	-0.16539150217554438	True	True
61	575	55227	109798	0.609154	-0.7151210934389483	Higher in Control	0.01915	True	True	0.574328	-0.8000531962725327	Higher in Control	0.01965	True	True	0.622705	-0.6833792315285379	Higher in Control	0.01596	True	True	-0.11667396474399483	True	True
65	638	72339	130864	1.200524	0.2636642451634008	Higher in AD	0.01666	True	True	1.168925	0.225182367338176	Higher in AD	0.02472	True	True	1.221499	0.2886526825199203	Higher in AD	0.01393	True	True	-0.06347031518174431	True	True
