module_definition	module	component	component_class	n_features	n_edges	mdc	log2_mdc	direction	p_loss_sample	p_loss_gene	q_loss_sample	q_loss_gene	q_loss_max	p_gain_sample	p_gain_gene	q_gain_sample	q_gain_gene	q_gain_max	directional_p_sample	directional_p_gene	directional_fdr	significant_fdr_05	significant_fdr_10	component_label
full_cohort	32	TS_AC	TS	113	465	0.832808880008324	-0.263942643114019	Higher in Control	0.875621890547264	0.840796019900497	1.0	1.0	1.0	0.129353233830846	0.164179104477612	0.468905472636816	0.56680881307747	0.56680881307747	0.129353233830846	0.164179104477612	0.56680881307747	False	False	TS: AC
full_cohort	32	TS_DLPFC	TS	113	1128	1.17793614276376	0.236261331175891	Higher in AD	0.0049751243781094	0.159203980099502	0.0086442786069651	0.63226723525231	0.63226723525231	1.0	0.845771144278607	1.0	1.0	1.0	0.0049751243781094	0.159203980099502	0.63226723525231	False	False	TS: DLPFC
full_cohort	32	TS_PCGBA23	TS	113	561	1.12614323993726	0.171390342874665	Higher in AD	0.830845771144279	0.437810945273632	1.0	0.97007499814361	1.0	0.174129353233831	0.567164179104478	0.280981456354591	1.0	1.0	0.830845771144279	0.437810945273632	1.0	False	False	TS: PCG
full_cohort	32	CT_AC__DLPFC	CT	113	1488	1.00692756727591	0.0099599076840509	Higher in AD	0.0049751243781094	0.129353233830846	0.0161691542288557	0.451158839946608	0.451158839946608	1.0	0.875621890547264	1.0	1.0	1.0	0.0049751243781094	0.129353233830846	0.451158839946608	False	False	CT: AC - DLPFC
full_cohort	32	CT_AC__PCGBA23	CT	113	1054	1.23436538004126	0.303769504656415	Higher in AD	0.0248756218905473	0.0049751243781094	0.0981205085682698	0.0201847903340441	0.0981205085682698	0.980099502487562	1.0	1.0	1.0	1.0	0.0248756218905473	0.0049751243781094	0.0981205085682698	False	True	CT: AC - PCG
full_cohort	32	CT_DLPFC__PCGBA23	CT	113	1632	1.47312443429023	0.558879299451287	Higher in AD	0.0049751243781094	0.0049751243781094	0.0111162935323383	0.0323383084577114	0.0323383084577114	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0323383084577114	True	True	CT: DLPFC - PCG
full_cohort	34	TS_AC	TS	407	1770	0.746252288882905	-0.422264643511658	Higher in Control	1.0	0.995024875621891	1.0	1.0	1.0	0.0049751243781094	0.0099502487562189	0.0267182605491063	0.0601160862354892	0.0601160862354892	0.0049751243781094	0.0099502487562189	0.0601160862354892	False	True	TS: AC
full_cohort	34	TS_DLPFC	TS	407	13530	0.849641562136859	-0.235073754331295	Higher in Control	0.0049751243781094	1.0	0.0086442786069651	1.0	1.0	1.0	0.0049751243781094	1.0	0.0160823788036561	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
full_cohort	34	TS_PCGBA23	TS	407	16471	0.761650093075888	-0.392799728300883	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0119740281642634	0.0252309879175551	0.0252309879175551	0.0049751243781094	0.0049751243781094	0.0252309879175551	True	True	TS: PCG
full_cohort	34	CT_AC__DLPFC	CT	407	9900	0.64538879708743	-0.631759559713087	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0177860696517413	0.0245325098644707	0.0245325098644707	0.0049751243781094	0.0049751243781094	0.0245325098644707	True	True	CT: AC - DLPFC
full_cohort	34	CT_AC__PCGBA23	CT	407	10920	0.952266239525991	-0.0705631088077618	Higher in Control	1.0	0.393034825870647	1.0	0.724817471086128	1.0	0.0049751243781094	0.611940298507463	0.0130827344757693	1.0	1.0	0.0049751243781094	0.611940298507463	1.0	False	False	CT: AC - PCG
full_cohort	34	CT_DLPFC__PCGBA23	CT	407	30030	0.863082857878361	-0.212429026894443	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.027363184079602	0.0197622996130459	0.027363184079602	0.0049751243781094	0.0049751243781094	0.027363184079602	True	True	CT: DLPFC - PCG
full_cohort	36	TS_AC	TS	521	101475	0.85371632508741	-0.228171327590118	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0267182605491063	0.0313649145576465	0.0313649145576465	0.0049751243781094	0.0049751243781094	0.0313649145576465	True	True	TS: AC
full_cohort	36	TS_DLPFC	TS	521	496	0.952171470728423	-0.0707066918440129	Higher in Control	0.0049751243781094	0.890547263681592	0.0086442786069651	1.0	1.0	1.0	0.114427860696517	1.0	0.248523009950249	1.0	1.0	0.114427860696517	1.0	False	False	TS: DLPFC
full_cohort	36	TS_PCGBA23	TS	521	703	0.805760312431893	-0.311577347315671	Higher in Control	1.0	0.995024875621891	1.0	1.0	1.0	0.0049751243781094	0.0099502487562189	0.0119740281642634	0.0441542288557214	0.0441542288557214	0.0049751243781094	0.0099502487562189	0.0441542288557214	True	True	TS: PCG
full_cohort	36	CT_AC__DLPFC	CT	521	14432	0.852316215368925	-0.230539315014912	Higher in Control	0.870646766169154	0.860696517412935	1.0	1.0	1.0	0.134328358208955	0.144278606965174	0.362433117431709	0.421057975428978	0.421057975428978	0.134328358208955	0.144278606965174	0.421057975428978	False	False	CT: AC - DLPFC
full_cohort	36	CT_AC__PCGBA23	CT	521	17138	0.891429060490721	-0.165808101468252	Higher in Control	1.0	0.805970149253731	1.0	1.0	1.0	0.0049751243781094	0.199004975124378	0.0130827344757693	0.601249073780036	0.601249073780036	0.0049751243781094	0.199004975124378	0.601249073780036	False	False	CT: AC - PCG
full_cohort	36	CT_DLPFC__PCGBA23	CT	521	1216	1.03516800634498	0.0498649341502576	Higher in AD	0.0447761194029851	0.72636815920398	0.082089552238806	1.0	1.0	0.960199004975124	0.278606965174129	1.0	0.675267729150856	1.0	0.0447761194029851	0.72636815920398	1.0	False	False	CT: DLPFC - PCG
full_cohort	38	TS_AC	TS	416	253	0.75294737821921	-0.409379053144164	Higher in Control	0.920398009950249	0.945273631840796	1.0	1.0	1.0	0.0845771144278607	0.0597014925373134	0.331450853838914	0.288557213930348	0.331450853838914	0.0845771144278607	0.0597014925373134	0.331450853838914	False	False	TS: AC
full_cohort	38	TS_DLPFC	TS	416	17578	0.907831425188832	-0.13950366589841	Higher in Control	0.0049751243781094	1.0	0.0086442786069651	1.0	1.0	1.0	0.0049751243781094	1.0	0.0160823788036561	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
full_cohort	38	TS_PCGBA23	TS	416	20910	0.748509049830473	-0.417908335628898	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0119740281642634	0.0252309879175551	0.0252309879175551	0.0049751243781094	0.0049751243781094	0.0252309879175551	True	True	TS: PCG
full_cohort	38	CT_AC__DLPFC	CT	416	4324	0.716402088281675	-0.48115855216256	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0177860696517413	0.0245325098644707	0.0245325098644707	0.0049751243781094	0.0049751243781094	0.0245325098644707	True	True	CT: AC - DLPFC
full_cohort	38	CT_AC__PCGBA23	CT	416	4715	0.994969368790356	-0.007275983476789	Higher in Control	0.995024875621891	0.248756218905473	1.0	0.535202774008744	1.0	0.0099502487562189	0.756218905472637	0.0239480563285269	1.0	1.0	0.0099502487562189	0.756218905472637	1.0	False	False	CT: AC - PCG
full_cohort	38	CT_DLPFC__PCGBA23	CT	416	38540	0.883699059432717	-0.178372946291449	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.027363184079602	0.0197622996130459	0.027363184079602	0.0049751243781094	0.0049751243781094	0.027363184079602	True	True	CT: DLPFC - PCG
full_cohort	56	TS_AC	TS	542	4186	0.823703454650812	-0.27980305542424	Higher in Control	1.0	0.965174129353234	1.0	1.0	1.0	0.0049751243781094	0.0398009950248756	0.0267182605491063	0.206112295664534	0.206112295664534	0.0049751243781094	0.0398009950248756	0.206112295664534	False	False	TS: AC
full_cohort	56	TS_DLPFC	TS	542	31125	0.861871870443505	-0.214454686843872	Higher in Control	0.0049751243781094	1.0	0.0086442786069651	1.0	1.0	1.0	0.0049751243781094	1.0	0.0160823788036561	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
full_cohort	56	TS_PCGBA23	TS	542	19900	0.910431914602753	-0.135376963613572	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0119740281642634	0.0252309879175551	0.0252309879175551	0.0049751243781094	0.0049751243781094	0.0252309879175551	True	True	TS: PCG
full_cohort	56	CT_AC__DLPFC	CT	542	23000	0.695005043335812	-0.524904648030835	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0177860696517413	0.0245325098644707	0.0245325098644707	0.0049751243781094	0.0049751243781094	0.0245325098644707	True	True	CT: AC - DLPFC
full_cohort	56	CT_AC__PCGBA23	CT	542	18400	0.957379647569026	-0.0628369579996568	Higher in Control	1.0	0.373134328358209	1.0	0.706467661691542	1.0	0.0049751243781094	0.631840796019901	0.0130827344757693	1.0	1.0	0.0049751243781094	0.631840796019901	1.0	False	False	CT: AC - PCG
full_cohort	56	CT_DLPFC__PCGBA23	CT	542	50000	1.06943601734844	0.0968501709411509	Higher in AD	0.0049751243781094	0.870646766169154	0.0111162935323383	1.0	1.0	1.0	0.134328358208955	1.0	0.400186567164179	1.0	0.0049751243781094	0.870646766169154	1.0	False	False	CT: DLPFC - PCG
full_cohort	57	TS_AC	TS	142	703	0.824344162723664	-0.278681308217201	Higher in Control	0.945273631840796	0.865671641791045	1.0	1.0	1.0	0.0597014925373134	0.139303482587065	0.254609306409131	0.531552762503273	0.531552762503273	0.0597014925373134	0.139303482587065	0.531552762503273	False	False	TS: AC
full_cohort	57	TS_DLPFC	TS	142	1225	0.868786152030153	-0.202926987321337	Higher in Control	0.0049751243781094	0.995024875621891	0.0086442786069651	1.0	1.0	1.0	0.0099502487562189	1.0	0.0276616915422886	1.0	1.0	0.0099502487562189	1.0	False	False	TS: DLPFC
full_cohort	57	TS_PCGBA23	TS	142	1431	0.892406206311723	-0.16422754793013	Higher in Control	1.0	0.975124378109453	1.0	1.0	1.0	0.0049751243781094	0.0298507462686567	0.0119740281642634	0.0985768830267268	0.0985768830267268	0.0049751243781094	0.0298507462686567	0.0985768830267268	False	True	TS: PCG
full_cohort	57	CT_AC__DLPFC	CT	142	1900	0.942137165000257	-0.085990978934834	Higher in Control	0.0398009950248756	0.343283582089552	0.103482587064677	0.892537313432836	0.892537313432836	0.965174129353234	0.661691542288557	1.0	1.0	1.0	0.965174129353234	0.661691542288557	1.0	False	False	CT: AC - DLPFC
full_cohort	57	CT_AC__PCGBA23	CT	142	2052	1.01680177055087	0.02403844761399	Higher in AD	0.900497512437811	0.144278606965174	1.0	0.347246816763639	1.0	0.104477611940299	0.860696517412935	0.197810945273632	1.0	1.0	0.900497512437811	0.144278606965174	1.0	False	False	CT: AC - PCG
full_cohort	57	CT_DLPFC__PCGBA23	CT	142	2700	1.1165465575238	0.159043409609372	Higher in AD	0.0049751243781094	0.442786069651741	0.0111162935323383	0.9045486851457	0.9045486851457	1.0	0.562189054726368	1.0	1.0	1.0	0.0049751243781094	0.442786069651741	0.9045486851457	False	False	CT: DLPFC - PCG
full_cohort	59	TS_AC	TS	252	20301	0.735370180262909	-0.443457419378339	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0267182605491063	0.0313649145576465	0.0313649145576465	0.0049751243781094	0.0049751243781094	0.0313649145576465	True	True	TS: AC
full_cohort	59	TS_DLPFC	TS	252	406	0.973730456910963	-0.0384056267842478	Higher in Control	0.0049751243781094	0.875621890547264	0.0086442786069651	1.0	1.0	1.0	0.129353233830846	1.0	0.276616915422886	1.0	1.0	0.129353233830846	1.0	False	False	TS: DLPFC
full_cohort	59	TS_PCGBA23	TS	252	210	0.924873021926083	-0.112672786785235	Higher in Control	0.925373134328358	0.771144278606965	1.0	1.0	1.0	0.0796019900497512	0.233830845771144	0.146798475156684	0.527047303166706	0.527047303166706	0.0796019900497512	0.233830845771144	0.527047303166706	False	False	TS: PCG
full_cohort	59	CT_AC__DLPFC	CT	252	5858	0.709442889212767	-0.495241544168565	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0177860696517413	0.0245325098644707	0.0245325098644707	0.0049751243781094	0.0049751243781094	0.0245325098644707	True	True	CT: AC - DLPFC
full_cohort	59	CT_AC__PCGBA23	CT	252	4242	0.804471489716094	-0.31388680181191	Higher in Control	1.0	0.945273631840796	1.0	1.0	1.0	0.0049751243781094	0.0597014925373134	0.0130827344757693	0.229124647035095	0.229124647035095	0.0049751243781094	0.0597014925373134	0.229124647035095	False	False	CT: AC - PCG
full_cohort	59	CT_DLPFC__PCGBA23	CT	252	609	1.03385130707909	0.0480287059958217	Higher in AD	0.238805970149254	0.691542288557214	0.375266524520256	1.0	1.0	0.766169154228856	0.313432835820896	1.0	0.700326492537313	1.0	0.238805970149254	0.691542288557214	1.0	False	False	CT: DLPFC - PCG
full_cohort	60	TS_AC	TS	273	4560	0.702690561914865	-0.509038573542147	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0267182605491063	0.0313649145576465	0.0313649145576465	0.0049751243781094	0.0049751243781094	0.0313649145576465	True	True	TS: AC
full_cohort	60	TS_DLPFC	TS	273	3160	0.700119277624891	-0.514327363431822	Higher in Control	0.18407960199005	1.0	0.234743712629513	1.0	1.0	0.82089552238806	0.0049751243781094	1.0	0.0160823788036561	1.0	0.82089552238806	0.0049751243781094	1.0	False	False	TS: DLPFC
full_cohort	60	TS_PCGBA23	TS	273	4656	0.880981561711942	-0.182816269958597	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0119740281642634	0.0252309879175551	0.0252309879175551	0.0049751243781094	0.0049751243781094	0.0252309879175551	True	True	TS: PCG
full_cohort	60	CT_AC__DLPFC	CT	273	7680	0.701304520403541	-0.511887067656756	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0177860696517413	0.0245325098644707	0.0245325098644707	0.0049751243781094	0.0049751243781094	0.0245325098644707	True	True	CT: AC - DLPFC
full_cohort	60	CT_AC__PCGBA23	CT	273	9312	0.883510690865851	-0.178680502763748	Higher in Control	1.0	0.840796019900497	1.0	1.0	1.0	0.0049751243781094	0.164179104477612	0.0130827344757693	0.518076285240464	0.518076285240464	0.0049751243781094	0.164179104477612	0.518076285240464	False	False	CT: AC - PCG
full_cohort	60	CT_DLPFC__PCGBA23	CT	273	7760	0.995339838108446	-0.0067389068734855	Higher in Control	0.0099502487562189	0.970149253731343	0.0203269367448472	1.0	1.0	0.995024875621891	0.0348258706467662	1.0	0.115816267499711	1.0	0.995024875621891	0.0348258706467662	1.0	False	False	CT: DLPFC - PCG
full_cohort	61	TS_AC	TS	575	21528	0.435077891285271	-1.20065438746306	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0267182605491063	0.0313649145576465	0.0313649145576465	0.0049751243781094	0.0049751243781094	0.0313649145576465	True	True	TS: AC
full_cohort	61	TS_DLPFC	TS	575	14196	0.83221432256525	-0.264972977237627	Higher in Control	0.0049751243781094	1.0	0.0086442786069651	1.0	1.0	1.0	0.0049751243781094	1.0	0.0160823788036561	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
full_cohort	61	TS_PCGBA23	TS	575	19503	0.743835059093403	-0.426945346953338	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0119740281642634	0.0252309879175551	0.0252309879175551	0.0049751243781094	0.0049751243781094	0.0252309879175551	True	True	TS: PCG
full_cohort	61	CT_AC__DLPFC	CT	575	35152	0.495705231537055	-1.01244561019101	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0177860696517413	0.0245325098644707	0.0245325098644707	0.0049751243781094	0.0049751243781094	0.0245325098644707	True	True	CT: AC - DLPFC
full_cohort	61	CT_AC__PCGBA23	CT	575	41184	0.664489582678724	-0.589681512595167	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0130827344757693	0.0321121664405246	0.0321121664405246	0.0049751243781094	0.0049751243781094	0.0321121664405246	True	True	CT: AC - PCG
full_cohort	61	CT_DLPFC__PCGBA23	CT	575	33462	0.721168598072013	-0.471591516187119	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.027363184079602	0.0197622996130459	0.027363184079602	0.0049751243781094	0.0049751243781094	0.027363184079602	True	True	CT: DLPFC - PCG
full_cohort	65	TS_AC	TS	638	10878	0.870418531924644	-0.200218821811098	Higher in Control	1.0	0.945273631840796	1.0	1.0	1.0	0.0049751243781094	0.0597014925373134	0.0267182605491063	0.288557213930348	0.288557213930348	0.0049751243781094	0.0597014925373134	0.288557213930348	False	False	TS: AC
full_cohort	65	TS_DLPFC	TS	638	40755	1.13285079250169	0.179957856663077	Higher in AD	0.0049751243781094	0.149253731343284	0.0086442786069651	0.610184372256365	0.610184372256365	1.0	0.855721393034826	1.0	1.0	1.0	0.0049751243781094	0.149253731343284	0.610184372256365	False	False	TS: DLPFC
full_cohort	65	TS_PCGBA23	TS	638	20706	1.30232089515605	0.381084976006699	Higher in AD	0.154228855721393	0.0049751243781094	1.0	0.0415569212759731	1.0	0.850746268656716	1.0	0.958777540867093	1.0	1.0	0.154228855721393	0.0049751243781094	1.0	False	False	TS: PCG
full_cohort	65	CT_AC__DLPFC	CT	638	42328	0.902842122727137	-0.147454364846883	Higher in Control	0.0049751243781094	0.676616915422886	0.0161691542288557	1.0	1.0	1.0	0.328358208955224	1.0	0.700824237023836	1.0	1.0	0.328358208955224	1.0	False	False	CT: AC - DLPFC
full_cohort	65	CT_AC__PCGBA23	CT	638	30192	1.05917137761801	0.0829360412999814	Higher in AD	0.935323383084577	0.0049751243781094	1.0	0.0201847903340441	1.0	0.0696517412935323	1.0	0.139303482587065	1.0	1.0	0.935323383084577	0.0049751243781094	1.0	False	False	CT: AC - PCG
full_cohort	65	CT_DLPFC__PCGBA23	CT	638	58344	1.48257788343169	0.568107895050731	Higher in AD	0.0049751243781094	0.0049751243781094	0.0111162935323383	0.0323383084577114	0.0323383084577114	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0323383084577114	True	True	CT: DLPFC - PCG
full_cohort	66	TS_AC	TS	31	55	0.676448054669369	-0.563948942870685	Higher in Control	0.776119402985075	0.840796019900497	1.0	1.0	1.0	0.228855721393035	0.164179104477612	0.650668227490001	0.56680881307747	0.650668227490001	0.228855721393035	0.164179104477612	0.650668227490001	False	False	TS: AC
full_cohort	66	TS_DLPFC	TS	31	36	0.88878442060758	-0.17009456676204	Higher in Control	0.343283582089552	0.786069651741294	0.381731343283582	1.0	1.0	0.661691542288557	0.218905472636816	1.0	0.416820009541334	1.0	0.661691542288557	0.218905472636816	1.0	False	False	TS: DLPFC
full_cohort	66	TS_PCGBA23	TS	31	55	0.844997418859759	-0.242981160361076	Higher in Control	0.825870646766169	0.761194029850746	1.0	1.0	1.0	0.17910447761194	0.243781094527363	0.285762200234781	0.540889303482587	0.540889303482587	0.17910447761194	0.243781094527363	0.540889303482587	False	False	TS: PCG
full_cohort	66	CT_AC__DLPFC	CT	31	99	0.696966164858376	-0.520839474627055	Higher in Control	0.875621890547264	0.890547263681592	1.0	1.0	1.0	0.129353233830846	0.114427860696517	0.355721393034826	0.348152852757489	0.355721393034826	0.129353233830846	0.114427860696517	0.355721393034826	False	False	CT: AC - DLPFC
full_cohort	66	CT_AC__PCGBA23	CT	31	121	0.727004956396157	-0.459962895056411	Higher in Control	0.990049751243781	0.865671641791045	1.0	1.0	1.0	0.0149253731343284	0.139303482587065	0.0347443112307316	0.449570330167345	0.449570330167345	0.0149253731343284	0.139303482587065	0.449570330167345	False	False	CT: AC - PCG
full_cohort	66	CT_DLPFC__PCGBA23	CT	31	99	0.946242043877734	-0.0797188300995806	Higher in Control	0.577114427860697	0.746268656716418	0.817102605782966	1.0	1.0	0.427860696517413	0.258706467661692	1.0	0.637845256476239	1.0	0.427860696517413	0.258706467661692	1.0	False	False	CT: DLPFC - PCG
full_cohort	68	TS_AC	TS	551	20910	0.602408064059248	-0.731187012293826	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0267182605491063	0.0313649145576465	0.0313649145576465	0.0049751243781094	0.0049751243781094	0.0313649145576465	True	True	TS: AC
full_cohort	68	TS_DLPFC	TS	551	17578	0.814582274005483	-0.295867674460386	Higher in Control	0.0049751243781094	1.0	0.0086442786069651	1.0	1.0	1.0	0.0049751243781094	1.0	0.0160823788036561	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
full_cohort	68	TS_PCGBA23	TS	551	12403	0.901937793327183	-0.14890016068961	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0119740281642634	0.0252309879175551	0.0252309879175551	0.0049751243781094	0.0049751243781094	0.0252309879175551	True	True	TS: PCG
full_cohort	68	CT_AC__DLPFC	CT	551	38540	0.555934015827959	-0.847014436195663	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0177860696517413	0.0245325098644707	0.0245325098644707	0.0049751243781094	0.0049751243781094	0.0245325098644707	True	True	CT: AC - DLPFC
full_cohort	68	CT_AC__PCGBA23	CT	551	32390	0.668636101612872	-0.58070684251691	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0130827344757693	0.0321121664405246	0.0321121664405246	0.0049751243781094	0.0049751243781094	0.0321121664405246	True	True	CT: AC - PCG
full_cohort	68	CT_DLPFC__PCGBA23	CT	551	29704	0.854715100901531	-0.226484483089097	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.027363184079602	0.0197622996130459	0.027363184079602	0.0049751243781094	0.0049751243781094	0.027363184079602	True	True	CT: DLPFC - PCG
full_cohort	70	TS_AC	TS	387	11781	0.744422042079795	-0.425807321155514	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0267182605491063	0.0313649145576465	0.0313649145576465	0.0049751243781094	0.0049751243781094	0.0313649145576465	True	True	TS: AC
full_cohort	70	TS_DLPFC	TS	387	8385	0.833624437465186	-0.262530524452954	Higher in Control	0.0049751243781094	1.0	0.0086442786069651	1.0	1.0	1.0	0.0049751243781094	1.0	0.0160823788036561	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
full_cohort	70	TS_PCGBA23	TS	387	5253	0.914916677942422	-0.128287732685025	Higher in Control	1.0	0.980099502487562	1.0	1.0	1.0	0.0049751243781094	0.0248756218905473	0.0119740281642634	0.0883084577114428	0.0883084577114428	0.0049751243781094	0.0248756218905473	0.0883084577114428	False	True	TS: PCG
full_cohort	70	CT_AC__DLPFC	CT	387	20020	0.696245126351778	-0.52233277112443	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0177860696517413	0.0245325098644707	0.0245325098644707	0.0049751243781094	0.0049751243781094	0.0245325098644707	True	True	CT: AC - DLPFC
full_cohort	70	CT_AC__PCGBA23	CT	387	15862	0.841720931844427	-0.248586100287374	Higher in Control	1.0	0.985074626865672	1.0	1.0	1.0	0.0049751243781094	0.0199004975124378	0.0130827344757693	0.094195688225539	0.094195688225539	0.0049751243781094	0.0199004975124378	0.094195688225539	False	True	CT: AC - PCG
full_cohort	70	CT_DLPFC__PCGBA23	CT	387	13390	0.991281778676904	-0.0126328831706876	Higher in Control	0.0099502487562189	0.990049751243781	0.0203269367448472	1.0	1.0	0.995024875621891	0.0149253731343284	1.0	0.054726368159204	1.0	0.995024875621891	0.0149253731343284	1.0	False	False	CT: DLPFC - PCG
full_cohort	91	TS_AC	TS	325	36	0.641655974523431	-0.640128094857319	Higher in Control	0.786069651741294	0.935323383084577	1.0	1.0	1.0	0.218905472636816	0.0696517412935323	0.650668227490001	0.315609452736318	0.650668227490001	0.218905472636816	0.0696517412935323	0.650668227490001	False	False	TS: AC
full_cohort	91	TS_DLPFC	TS	325	47278	0.972633607373222	-0.0400316530608832	Higher in Control	0.0049751243781094	1.0	0.0086442786069651	1.0	1.0	1.0	0.0049751243781094	1.0	0.0160823788036561	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
full_cohort	91	TS_PCGBA23	TS	325	28	0.522805968171895	-0.935652484353001	Higher in Control	0.920398009950249	0.970149253731343	1.0	1.0	1.0	0.0845771144278607	0.0348258706467662	0.152024686693117	0.112392582541836	0.152024686693117	0.0845771144278607	0.0348258706467662	0.152024686693117	False	False	TS: PCG
