module	module_size	cluster_type	tissues	n_tissues	dominant_tissue	n_genes_ac	n_genes_dlpfc	n_genes_pcg	proportion_ac	proportion_dlpfc	proportion_pcg
32	113	CT	AC, DLPFC, PCG	3	DLPFC	31	48	34	0.2743362832	0.4247787611	0.3008849558
34	407	CT	AC, DLPFC, PCG	3	PCG	60	165	182	0.1474201474	0.4054054054	0.4471744472
36	521	CT	AC, DLPFC, PCG	3	AC	451	32	38	0.8656429942	0.06142034549	0.07293666027
38	416	CT	AC, DLPFC, PCG	3	PCG	23	188	205	0.05528846154	0.4519230769	0.4927884615
56	545	CT	AC, DLPFC, PCG	3	DLPFC	93	252	200	0.1706422018	0.4623853211	0.3669724771
57	142	CT	AC, DLPFC, PCG	3	PCG	38	50	54	0.2676056338	0.3521126761	0.3802816901
59	252	CT	AC, DLPFC, PCG	3	AC	202	29	21	0.8015873016	0.1150793651	0.08333333333
60	273	CT	AC, DLPFC, PCG	3	PCG	96	80	97	0.3516483516	0.293040293	0.3553113553
61	575	CT	AC, DLPFC, PCG	3	AC	208	169	198	0.3617391304	0.2939130435	0.3443478261
65	639	CT	AC, DLPFC, PCG	3	DLPFC	148	287	204	0.2316118936	0.4491392801	0.3192488263
66	32	CT	AC, DLPFC, PCG	3	AC	11	10	11	0.34375	0.3125	0.34375
68	551	CT	AC, DLPFC, PCG	3	AC	205	188	158	0.3720508167	0.3411978221	0.2867513612
70	387	CT	AC, DLPFC, PCG	3	AC	154	130	103	0.3979328165	0.3359173127	0.2661498708
91	325	CT	AC, DLPFC, PCG	3	DLPFC	9	308	8	0.02769230769	0.9476923077	0.02461538462
92	228	TS	AC, DLPFC, PCG	3	DLPFC	3	217	8	0.01315789474	0.951754386	0.0350877193
93	398	CT	AC, DLPFC, PCG	3	DLPFC	49	297	52	0.1231155779	0.7462311558	0.1306532663
144	339	TS	AC, DLPFC, PCG	3	PCG	1	15	323	0.002949852507	0.04424778761	0.9528023599
154	345	CT	AC, DLPFC, PCG	3	PCG	8	18	319	0.0231884058	0.05217391304	0.9246376812
158	111	CT	AC, DLPFC, PCG	3	PCG	1	7	103	0.009009009009	0.06306306306	0.9279279279
187	227	CT	AC, DLPFC, PCG	3	PCG	24	15	188	0.1057268722	0.06607929515	0.8281938326
188	30	CT	AC, DLPFC, PCG	3	PCG	6	9	15	0.2	0.3	0.5
189	260	CT	AC, DLPFC, PCG	3	DLPFC	5	244	11	0.01923076923	0.9384615385	0.04230769231
190	30	TS	AC	1	AC	30	0	0	1	0	0
191	272	CT	AC, DLPFC, PCG	3	PCG	52	102	118	0.1911764706	0.375	0.4338235294
192	228	CT	AC, DLPFC, PCG	3	DLPFC	7	182	39	0.03070175439	0.798245614	0.1710526316
193	253	CT	AC, DLPFC, PCG	3	DLPFC	78	98	77	0.3083003953	0.3873517787	0.3043478261
228	66	TS	DLPFC, PCG	2	DLPFC	0	64	2	0	0.9696969697	0.0303030303
229	70	TS	DLPFC, PCG	2	PCG	0	2	68	0	0.02857142857	0.9714285714
263	170	CT	AC, DLPFC, PCG	3	AC	142	1	27	0.8352941176	0.005882352941	0.1588235294
