module	annotation_available	top_category	top_subcategory	top_pathway	top_pathway_id	top_fdr	top_significant	priority_theme	priority_category	priority_subcategory	priority_pathway	priority_pathway_id	priority_fdr	priority_significant	priority_is_top	displayed_selection	displayed_category	displayed_subcategory	displayed_pathway	displayed_pathway_id	displayed_fdr	subtitle_text
32	True	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	1.41390176681591e-13	True	infection	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	1.41390176681591e-13	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	1.41390176681591e-13	KEGG enrichment: Human Diseases / Infectious disease: viral / Herpes simplex virus 1 infection | FDR=1.41e-13
34	True	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	6.80059001955905e-21	True	infection	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	6.80059001955905e-21	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	6.80059001955905e-21	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Staphylococcus aureus infection | FDR=6.80e-21
36	True	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19	hsa05171	1.3647522275452e-33	True	infection	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19	hsa05171	1.3647522275452e-33	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19	hsa05171	1.3647522275452e-33	KEGG enrichment: Human Diseases / Infectious disease: viral / Coronavirus disease - COVID-19 | FDR=1.36e-33
38	True	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	3.0165850088357803e-25	True	infection	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	3.0165850088357803e-25	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	hsa05150	3.0165850088357803e-25	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Staphylococcus aureus infection | FDR=3.02e-25
56	True	Cellular Processes	Cell motility	Cytoskeleton in muscle cells	hsa04820	3.85592085893508e-13	True	infection	Human Diseases	Infectious disease: bacterial	Pertussis	hsa05133	1.60381349307079e-09	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: bacterial	Pertussis	hsa05133	1.60381349307079e-09	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Pertussis | FDR=1.60e-09
57	True	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	1.4335893983744398e-22	True	infection	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	1.4335893983744398e-22	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	1.4335893983744398e-22	KEGG enrichment: Human Diseases / Infectious disease: viral / Herpes simplex virus 1 infection | FDR=1.43e-22
59	True	Human Diseases	Infectious disease: parasitic	Toxoplasmosis	hsa05145	2.94998694531633e-05	True	infection	Human Diseases	Infectious disease: parasitic	Toxoplasmosis	hsa05145	2.94998694531633e-05	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: parasitic	Toxoplasmosis	hsa05145	2.94998694531633e-05	KEGG enrichment: Human Diseases / Infectious disease: parasitic / Toxoplasmosis | FDR=2.95e-05
60	True	Human Diseases	Cancer: specific types	Small cell lung cancer	hsa05222	1.83525393362686e-08	True	infection	Human Diseases	Infectious disease: parasitic	Amoebiasis	hsa05146	1.71420736774526e-06	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: parasitic	Amoebiasis	hsa05146	1.71420736774526e-06	KEGG enrichment: Human Diseases / Infectious disease: parasitic / Amoebiasis | FDR=1.71e-06
61	True	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	hsa04141	2.0728336100923397e-42	True	infection	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	0.0001478798825848	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	hsa05168	0.0001478798825848	KEGG enrichment: Human Diseases / Infectious disease: viral / Herpes simplex virus 1 infection | FDR=1.48e-04
65	True	Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway	hsa04151	7.610897653266909e-18	True	infection	Human Diseases	Infectious disease: viral	Human papillomavirus infection	hsa05165	2.52403126987509e-07	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Human papillomavirus infection	hsa05165	2.52403126987509e-07	KEGG enrichment: Human Diseases / Infectious disease: viral / Human papillomavirus infection | FDR=2.52e-07
66	True	Human Diseases	Infectious disease: parasitic	Malaria	hsa05144	0.000127500467275	True	infection	Human Diseases	Infectious disease: parasitic	Malaria	hsa05144	0.000127500467275	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: parasitic	Malaria	hsa05144	0.000127500467275	KEGG enrichment: Human Diseases / Infectious disease: parasitic / Malaria | FDR=1.28e-04
68	True	Environmental Information Processing	Signal transduction	TNF signaling pathway	hsa04668	8.35016523546373e-22	True	lipid metabolism	Human Diseases	Cardiovascular disease	Lipid and atherosclerosis	hsa05417	6.95243523403583e-17	True	False	priority_significant_lowest_fdr	Human Diseases	Cardiovascular disease	Lipid and atherosclerosis	hsa05417	6.95243523403583e-17	KEGG enrichment: Human Diseases / Cardiovascular disease / Lipid and atherosclerosis | FDR=6.95e-17
70	True	Environmental Information Processing	Signal transduction	JAK-STAT signaling pathway	hsa04630	2.09138571284195e-21	True	infection	Environmental Information Processing	Signaling molecules and interaction	Viral protein interaction with cytokine and cytokine receptor	hsa04061	3.91692114313717e-11	True	False	priority_significant_lowest_fdr	Environmental Information Processing	Signaling molecules and interaction	Viral protein interaction with cytokine and cytokine receptor	hsa04061	3.91692114313717e-11	KEGG enrichment: Environmental Information Processing / Signaling molecules and interaction / Viral protein interaction with cytokine and cytokine receptor | FDR=3.92e-11
91	True	Environmental Information Processing	Signal transduction	TGF-beta signaling pathway	hsa04350	0.000330690109199	True	infection	Human Diseases	Infectious disease: viral	Human papillomavirus infection	hsa05165	0.0007727579207451	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Human papillomavirus infection	hsa05165	0.0007727579207451	KEGG enrichment: Human Diseases / Infectious disease: viral / Human papillomavirus infection | FDR=7.73e-04
92	False						False							False	False	unavailable						KEGG enrichment: not available
93	True	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism	hsa00250	0.0678547941839972	False							False	False	overall_lowest_fdr	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism	hsa00250	0.0678547941839972	KEGG enrichment: Metabolism / Amino acid metabolism / Alanine, aspartate and glutamate metabolism | FDR=0.068
144	False						False							False	False	unavailable						KEGG enrichment: not available
154	True	Organismal Systems	Digestive system	Mineral absorption	hsa04978	0.000406723509638	True	lipid metabolism	Metabolism	Global and overview maps	Fatty acid metabolism	hsa01212	0.0176844140832391	True	False	priority_significant_lowest_fdr	Metabolism	Global and overview maps	Fatty acid metabolism	hsa01212	0.0176844140832391	KEGG enrichment: Metabolism / Global and overview maps / Fatty acid metabolism | FDR=0.018
158	True	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0004879550349017	True	metabolism	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0004879550349017	True	True	priority_significant_lowest_fdr	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0004879550349017	KEGG enrichment: Metabolism / Global and overview maps / Metabolic pathways | FDR=4.88e-04
187	True	Genetic Information Processing	Information processing in viruses	Virion - Hepatitis viruses	hsa03272	0.0126078277677823	True	infection	Genetic Information Processing	Information processing in viruses	Virion - Hepatitis viruses	hsa03272	0.0126078277677823	True	True	priority_significant_lowest_fdr	Genetic Information Processing	Information processing in viruses	Virion - Hepatitis viruses	hsa03272	0.0126078277677823	KEGG enrichment: Genetic Information Processing / Information processing in viruses / Virion - Hepatitis viruses | FDR=0.013
188	True	Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine receptor interaction	hsa04060	1.0664120628022e-05	True							False	False	overall_lowest_fdr	Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine receptor interaction	hsa04060	1.0664120628022e-05	KEGG enrichment: Environmental Information Processing / Signaling molecules and interaction / Cytokine-cytokine receptor interaction | FDR=1.07e-05
189	True	Metabolism	Lipid metabolism	Ether lipid metabolism	hsa00565	0.0154380347154386	True	lipid metabolism	Metabolism	Lipid metabolism	Ether lipid metabolism	hsa00565	0.0154380347154386	True	True	priority_significant_lowest_fdr	Metabolism	Lipid metabolism	Ether lipid metabolism	hsa00565	0.0154380347154386	KEGG enrichment: Metabolism / Lipid metabolism / Ether lipid metabolism | FDR=0.015
190	False						False							False	False	unavailable						KEGG enrichment: not available
191	True	Environmental Information Processing	Signal transduction	TGF-beta signaling pathway	hsa04350	5.91069166272907e-06	True	infection	Human Diseases	Infectious disease: viral	Human papillomavirus infection	hsa05165	0.0006566060671479	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Human papillomavirus infection	hsa05165	0.0006566060671479	KEGG enrichment: Human Diseases / Infectious disease: viral / Human papillomavirus infection | FDR=6.57e-04
192	True	Environmental Information Processing	Signal transduction	TGF-beta signaling pathway	hsa04350	0.0163370372359209	True	lipid metabolism	Metabolism	Lipid metabolism	Sphingolipid metabolism	hsa00600	0.0163370372359209	True	False	priority_significant_lowest_fdr	Metabolism	Lipid metabolism	Sphingolipid metabolism	hsa00600	0.0163370372359209	KEGG enrichment: Metabolism / Lipid metabolism / Sphingolipid metabolism | FDR=0.016
193	True	Genetic Information Processing	Replication and repair	Nucleotide excision repair	hsa03420	8.56889681938823e-06	True	lipid metabolism	Metabolism	Lipid metabolism	Steroid biosynthesis	hsa00100	0.011190883969735	True	False	priority_significant_lowest_fdr	Metabolism	Lipid metabolism	Steroid biosynthesis	hsa00100	0.011190883969735	KEGG enrichment: Metabolism / Lipid metabolism / Steroid biosynthesis | FDR=0.011
228	False						False							False	False	unavailable						KEGG enrichment: not available
229	False						False							False	False	unavailable						KEGG enrichment: not available
263	True	Organismal Systems	Sensory system	Olfactory transduction	hsa04740	0.0018948464706522	True							False	False	overall_lowest_fdr	Organismal Systems	Sensory system	Olfactory transduction	hsa04740	0.0018948464706522	KEGG enrichment: Organismal Systems / Sensory system / Olfactory transduction | FDR=0.002
374	True	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0897816067799904	False							False	False	overall_lowest_fdr	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0897816067799904	KEGG enrichment: Metabolism / Global and overview maps / Metabolic pathways | FDR=0.090
376	True	Human Diseases	Infectious disease: bacterial	Salmonella infection	hsa05132	0.028178924381681	True	infection	Human Diseases	Infectious disease: bacterial	Salmonella infection	hsa05132	0.028178924381681	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: bacterial	Salmonella infection	hsa05132	0.028178924381681	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Salmonella infection | FDR=0.028
396	True	Cellular Processes	Cell growth and death	p53 signaling pathway	hsa04115	3.93287295704754e-06	True	lipid metabolism	Metabolism	Lipid metabolism	Glycerolipid metabolism	hsa00561	0.0009042166738449	True	False	priority_significant_lowest_fdr	Metabolism	Lipid metabolism	Glycerolipid metabolism	hsa00561	0.0009042166738449	KEGG enrichment: Metabolism / Lipid metabolism / Glycerolipid metabolism | FDR=9.04e-04
